Clock frequency is approx. 2301.0 MHz
Memory mountain (MB/sec)
x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
512m	9847	5757	3996	2899	2254	1853	1563	1361	1257	1178	1113	1054	1022	995	974	969	931	906	882	848	835	818	802	787	783	779	771	769	772	762	767	771	
256m	9811	5787	4001	2902	2256	1856	1562	1361	1254	1178	1113	1055	1022	996	973	970	935	914	877	856	840	831	812	798	793	790	780	781	777	772	779	786	
128m	10174	5775	4001	2901	2254	1855	1565	1360	1259	1179	1114	1057	1023	996	975	973	946	923	883	867	851	829	817	801	794	795	788	798	808	814	833	773	
64m	10897	6103	4200	3054	2383	1984	1694	1486	1395	1331	1275	1228	1246	1273	1365	1096	1661	1869	2229	2428	2724	3073	3178	3376	3304	3355	3381	3404	3391	3401	3409	915	
32m	20132	12451	8832	6715	5557	4798	4230	3768	3624	3525	3495	3464	3544	3609	3610	3090	3589	3563	3547	3528	3517	3507	3494	3489	3486	3484	3481	3482	3483	3473	3478	2893	
16m	23575	14929	10494	7951	6626	5743	5039	4459	4221	4027	3882	3768	3710	3676	3657	3635	3612	3581	3557	3538	3525	3516	3503	3495	3494	3489	3486	3484	3483	3478	3483	3489	
8m	23593	14947	10506	7945	6639	5740	5036	4461	4226	4025	3877	3768	3712	3676	3657	3637	3615	3583	3556	3542	3525	3517	3504	3497	3493	3489	3486	3486	3487	3479	3482	3494	
4m	23600	14875	10515	7940	6640	5770	5052	4469	4230	4031	3885	3781	3727	3692	3676	3652	3620	3594	3572	3555	3543	3530	3521	3512	3512	3510	3504	3509	3513	3498	3504	3507	
2m	23599	14894	10528	7957	6675	5758	5048	4485	4229	4036	3890	3777	3737	3689	3679	3647	3626	3599	3571	3556	3539	3538	3523	3512	3512	3521	3500	3512	3511	3501	3502	3508	
1024k	23700	14865	10522	7952	6641	5774	5047	4471	4243	4038	3889	3782	3737	3695	3672	3668	3611	3589	3579	3563	3579	3567	3585	3596	3582	3680	3635	3712	3793	3885	3929	3514	
512k	23525	14887	10562	7977	6670	5765	5066	4484	4225	4030	3902	3867	3948	4049	4100	3806	4265	4552	4656	4865	4859	5539	5465	5736	5948	6507	6022	6563	7726	7917	11299	3539	
256k	27868	18813	15651	12609	9973	8385	7119	6360	7833	8422	10549	10752	12369	12282	12415	6759	12441	12560	12464	12519	12510	12536	12249	12547	12625	12439	12558	12402	12402	12312	12441	6830	
128k	32451	25924	24478	21506	19046	15777	13574	11900	12270	12416	12185	12277	12399	12282	12442	13136	12458	12211	12107	12493	12630	12371	12535	12417	14567	12446	20456	12687	15997	26112	34995	13072	
64k	33895	27015	25817	22821	19333	16110	13979	12280	12364	12410	12575	12344	12608	15235	26112	12911	36058	33637	34808	35390	35020	36449	36020	35896	32777	32760	33045	35423	31889	33503	34745	11550	
32k	41022	41292	39765	38706	37602	37067	37926	36960	36102	35725	36841	36735	34311	35896	34420	31416	32131	32975	28746	33354	27826	29793	29519	30201	25330	29584	23856	26394	28237	34420	36301	26180	
16k	41157	40106	38310	38946	36416	36735	36381	34148	34047	32774	32323	31409	28993	34963	27919	32277	34090	33773	29604	32492	30944	32922	31506	31386	27910	28993	26816	28043	21275	28553	25311	21038	
