maxloc=744375, maxval=963.378362, exec_time= 0.00503898 s
maxloc=339587, maxval=963.269572, exec_time= 0.00238490 s
maxloc=174726, maxval=980.446435, exec_time= 0.00257683 s
maxloc=870721, maxval=978.682304, exec_time= 0.00364900 s
maxloc=669977, maxval=928.507966, exec_time= 0.00261998 s
maxloc=820416, maxval=963.111904, exec_time= 0.00498509 s
maxloc=88020, maxval=970.654877, exec_time= 0.00259900 s
maxloc=632028, maxval=986.697603, exec_time= 0.00309706 s
maxloc=672872, maxval=960.231250, exec_time= 0.00205398 s
maxloc=485657, maxval=977.924463, exec_time= 0.00449896 s
maxloc=605896, maxval=966.135647, exec_time= 0.00256395 s
maxloc=511463, maxval=976.180365, exec_time= 0.00262594 s
maxloc=555203, maxval=952.973072, exec_time= 0.00449491 s
maxloc=221615, maxval=972.530706, exec_time= 0.00224900 s
maxloc=45088, maxval=921.400518, exec_time= 0.00220704 s
maxloc=274697, maxval=970.774457, exec_time= 0.00202107 s
maxloc=661786, maxval=924.386632, exec_time= 0.00426698 s
maxloc=362993, maxval=957.582473, exec_time= 0.00160098 s
maxloc=271931, maxval=931.657933, exec_time= 0.00254798 s
maxloc=187662, maxval=975.651882, exec_time= 0.00498986 s
maxloc=352524, maxval=956.284149, exec_time= 0.00546384 s
maxloc=25395, maxval=959.334692, exec_time= 0.00499797 s
maxloc=769344, maxval=981.317510, exec_time= 0.00354815 s
maxloc=334199, maxval=980.832705, exec_time= 0.00268197 s
maxloc=811871, maxval=963.970434, exec_time= 0.00412989 s
maxloc=732250, maxval=953.892887, exec_time= 0.00338888 s
maxloc=449956, maxval=982.003122, exec_time= 0.00306702 s
maxloc=791511, maxval=926.116589, exec_time= 0.00263214 s
maxloc=244013, maxval=981.900093, exec_time= 0.00263691 s
maxloc=547311, maxval=954.311504, exec_time= 0.00320601 s
maxloc=344225, maxval=971.961354, exec_time= 0.00504184 s
maxloc=85710, maxval=983.772864, exec_time= 0.00208616 s
maxloc=185131, maxval=953.916286, exec_time= 0.00510693 s
maxloc=713342, maxval=936.994622, exec_time= 0.00220609 s
maxloc=796916, maxval=983.611496, exec_time= 0.00473595 s
maxloc=925482, maxval=923.378701, exec_time= 0.00132298 s
maxloc=430613, maxval=983.693782, exec_time= 0.00141692 s
maxloc=688959, maxval=952.692594, exec_time= 0.00263405 s
maxloc=130484, maxval=967.924443, exec_time= 0.00536704 s
maxloc=543335, maxval=970.509998, exec_time= 0.00259495 s
maxloc=696669, maxval=970.965860, exec_time= 0.00457597 s
maxloc=298510, maxval=949.923682, exec_time= 0.00258899 s
maxloc=821615, maxval=975.138346, exec_time= 0.00484800 s
maxloc=193782, maxval=967.736864, exec_time= 0.00385094 s
maxloc=920182, maxval=971.903988, exec_time= 0.00511312 s
maxloc=512471, maxval=974.686170, exec_time= 0.00456691 s
maxloc=11145, maxval=973.318382, exec_time= 0.00261402 s
maxloc=82345, maxval=925.493503, exec_time= 0.00197911 s
maxloc=51455, maxval=937.058952, exec_time= 0.00256205 s
maxloc=821753, maxval=986.251249, exec_time= 0.00449514 s
maxloc=767, maxval=957.908502, exec_time= 0.00265408 s
maxloc=706417, maxval=964.064196, exec_time= 0.00258994 s
maxloc=658042, maxval=950.520905, exec_time= 0.00348496 s
maxloc=336522, maxval=939.922059, exec_time= 0.00282502 s
maxloc=366680, maxval=924.846645, exec_time= 0.00109911 s
