maxloc=977982, maxval=973.101215, exec_time= 0.00120687 s
maxloc=575403, maxval=985.433781, exec_time= 0.00105214 s
maxloc=575403, maxval=985.433781, exec_time= 0.00105309 s
maxloc=774984, maxval=982.220572, exec_time= 0.00114894 s
maxloc=774984, maxval=982.220572, exec_time= 0.00105309 s
maxloc=774984, maxval=982.220572, exec_time= 0.00113893 s
maxloc=130654, maxval=981.920437, exec_time= 0.00135398 s
maxloc=130654, maxval=981.920437, exec_time= 0.00105309 s
maxloc=421875, maxval=979.981111, exec_time= 0.00135303 s
maxloc=421875, maxval=979.981111, exec_time= 0.00138187 s
maxloc=357264, maxval=980.537116, exec_time= 0.00105309 s
maxloc=357264, maxval=980.537116, exec_time= 0.00106692 s
maxloc=898148, maxval=975.899157, exec_time= 0.00105309 s
maxloc=898148, maxval=975.899157, exec_time= 0.00105286 s
maxloc=898148, maxval=975.899157, exec_time= 0.00105309 s
maxloc=909063, maxval=994.402584, exec_time= 0.00108600 s
maxloc=909063, maxval=994.402584, exec_time= 0.00105309 s
maxloc=129016, maxval=990.864215, exec_time= 0.00135398 s
maxloc=129016, maxval=990.864215, exec_time= 0.00135303 s
maxloc=402655, maxval=979.813054, exec_time= 0.00114894 s
maxloc=402655, maxval=979.813054, exec_time= 0.00135398 s
maxloc=888577, maxval=984.008215, exec_time= 0.00111508 s
maxloc=888577, maxval=984.008215, exec_time= 0.00105214 s
maxloc=239812, maxval=989.031759, exec_time= 0.00113797 s
maxloc=239812, maxval=989.031759, exec_time= 0.00136495 s
maxloc=239812, maxval=989.031759, exec_time= 0.00105286 s
maxloc=406812, maxval=984.744497, exec_time= 0.00110698 s
maxloc=406812, maxval=984.744497, exec_time= 0.00111508 s
maxloc=418600, maxval=988.300519, exec_time= 0.00105309 s
maxloc=418600, maxval=988.300519, exec_time= 0.00114822 s
maxloc=615998, maxval=983.491648, exec_time= 0.00105309 s
maxloc=615998, maxval=983.491648, exec_time= 0.00114703 s
maxloc=971908, maxval=990.092733, exec_time= 0.00105214 s
maxloc=971908, maxval=990.092733, exec_time= 0.00108504 s
maxloc=976441, maxval=992.020757, exec_time= 0.00105190 s
maxloc=351083, maxval=989.836460, exec_time= 0.00135398 s
maxloc=351083, maxval=989.836460, exec_time= 0.00135303 s
maxloc=653124, maxval=991.083370, exec_time= 0.00108910 s
