
The result is 3.141577 , Execution time: 3.044224e-02
The result is 3.141577 , Execution time: 3.890038e-03
The result is 3.141577 , Execution time: 2.410293e-02
The result is 3.141577 , Execution time: 1.279783e-02
The result is 3.141577 , Execution time: 7.733107e-03
The result is 3.141577 , Execution time: 3.685236e-03
The result is 3.141577 , Execution time: 3.894567e-03
The result is 3.141577 , Execution time: 2.454185e-02
The result is 3.141577 , Execution time: 6.725788e-03
The result is 3.141577 , Execution time: 4.842997e-03
The result is 3.141577 , Execution time: 1.486945e-02
The result is 3.141577 , Execution time: 6.525040e-03
The result is 3.141577 , Execution time: 3.734088e-02
The result is 3.141577 , Execution time: 1.713395e-02
The result is 3.141577 , Execution time: 1.169538e-02
The result is 3.141577 , Execution time: 7.333589e-02
The result is 3.141577 , Execution time: 4.352331e-03
The result is 3.141577 , Execution time: 2.416468e-02
The result is 3.141577 , Execution time: 7.338357e-02
The result is 3.141577 , Execution time: 1.454353e-05
The result is 3.141577 , Execution time: 1.598454e-02
The result is 3.141577 , Execution time: 5.919695e-03
The result is 3.141577 , Execution time: 2.955770e-02
The result is 3.141577 , Execution time: 2.577734e-02
The result is 3.141577 , Execution time: 6.597757e-03
The result is 3.141577 , Execution time: 1.837325e-02
The result is 3.141577 , Execution time: 3.857827e-02
The result is 3.141577 , Execution time: 2.773571e-02
The result is 3.141577 , Execution time: 4.069567e-03
The result is 3.141577 , Execution time: 1.293421e-02
The result is 3.141577 , Execution time: 7.764626e-02
The result is 3.141577 , Execution time: 3.637910e-02
The result is 3.141577 , Execution time: 4.784584e-02
The result is 3.141577 , Execution time: 3.764868e-03
The result is 3.141577 , Execution time: 7.792282e-02
The result is 3.141577 , Execution time: 2.228618e-02
The result is 3.141577 , Execution time: 1.160622e-02
The result is 3.141577 , Execution time: 3.036451e-02
The result is 3.141577 , Execution time: 3.881931e-03
The result is 3.141577 , Execution time: 3.185368e-02
The result is 3.141577 , Execution time: 3.973007e-03
The result is 3.141577 , Execution time: 3.965306e-02
The result is 3.141577 , Execution time: 6.994724e-03
The result is 3.141577 , Execution time: 5.755424e-04
The result is 3.141577 , Execution time: 4.793882e-03
The result is 3.141577 , Execution time: 1.509762e-02
The result is 3.141577 , Execution time: 1.874924e-02
The result is 3.141577 , Execution time: 1.794195e-02
The result is 3.141577 , Execution time: 1.860046e-02
The result is 3.141577 , Execution time: 1.525879e-05
The result is 3.141577 , Execution time: 4.533291e-02
The result is 3.141577 , Execution time: 7.419991e-02
The result is 3.141577 , Execution time: 2.266431e-02
The result is 3.141577 , Execution time: 1.430511e-05
The result is 3.141577 , Execution time: 1.311302e-05
The result is 3.141577 , Execution time: 3.850150e-02
The result is 3.141577 , Execution time: 3.284979e-02
The result is 3.141577 , Execution time: 2.537370e-02
The result is 3.141577 , Execution time: 1.406670e-05
The result is 3.141577 , Execution time: 1.640415e-02
The result is 3.141577 , Execution time: 7.438493e-02
The result is 3.141577 , Execution time: 3.879189e-02
The result is 3.141577 , Execution time: 7.796860e-02
The result is 3.141577 , Execution time: 2.585363e-02
The result is 3.141577 , Execution time: 3.325152e-02
The result is 3.141577 , Execution time: 2.831507e-02
The result is 3.141577 , Execution time: 4.302025e-03
The result is 3.141577 , Execution time: 1.356840e-02
The result is 3.141577 , Execution time: 3.153276e-02
The result is 3.141577 , Execution time: 4.219913e-02
The result is 3.141577 , Execution time: 2.533650e-02
The result is 3.141577 , Execution time: 2.410460e-02
The result is 3.141577 , Execution time: 3.557086e-02
The result is 3.141577 , Execution time: 9.882927e-03
The result is 3.141577 , Execution time: 3.293371e-02
The result is 3.141577 , Execution time: 3.765082e-02
The result is 3.141577 , Execution time: 3.955841e-03
The result is 3.141577 , Execution time: 4.628420e-02
The result is 3.141577 , Execution time: 2.858114e-02
The result is 3.141577 , Execution time: 2.685475e-02
The result is 3.141577 , Execution time: 2.119470e-02
The result is 3.141577 , Execution time: 6.083250e-03
The result is 3.141577 , Execution time: 7.771611e-02
The result is 3.141577 , Execution time: 3.286314e-02
The result is 3.141577 , Execution time: 4.319191e-03
The result is 3.141577 , Execution time: 5.927801e-03
The result is 3.141577 , Execution time: 3.697848e-02
The result is 3.141577 , Execution time: 1.406670e-05
The result is 3.141577 , Execution time: 1.430511e-05
The result is 3.141577 , Execution time: 2.356911e-02
The result is 3.141577 , Execution time: 3.996849e-03
The result is 3.141577 , Execution time: 4.241776e-02
The result is 3.141577 , Execution time: 4.060507e-03
The result is 3.141577 , Execution time: 3.777933e-02
The result is 3.141577 , Execution time: 1.991653e-02
The result is 3.141577 , Execution time: 1.927781e-02
The result is 3.141577 , Execution time: 3.520083e-02
The result is 3.141577 , Execution time: 4.155636e-03
The result is 3.141577 , Execution time: 2.540469e-02
The result is 3.141577 , Execution time: 4.276419e-02
