
The result is 3.141577 , Execution time: 9.447234e-01
The result is 3.141577 , Execution time: 9.647014e-01
The result is 3.141577 , Execution time: 9.442618e-01
The result is 3.141577 , Execution time: 9.634778e-01
The result is 3.141577 , Execution time: 9.443350e-01
The result is 3.141577 , Execution time: 9.441006e-01
The result is 3.141577 , Execution time: 9.743116e-01
The result is 3.141577 , Execution time: 9.602339e-01
The result is 3.141577 , Execution time: 9.685328e-01
The result is 3.141577 , Execution time: 9.436698e-01
The result is 3.141577 , Execution time: 9.582551e-01
The result is 3.141577 , Execution time: 9.438343e-01
The result is 3.141577 , Execution time: 9.443519e-01
The result is 3.141577 , Execution time: 9.560299e-01
The result is 3.141577 , Execution time: 9.534607e-01
The result is 3.141577 , Execution time: 9.463325e-01
The result is 3.141577 , Execution time: 9.439178e-01
The result is 3.141577 , Execution time: 9.760003e-01
The result is 3.141577 , Execution time: 9.440365e-01
The result is 3.141577 , Execution time: 9.760082e-01
The result is 3.141577 , Execution time: 9.536884e-01
The result is 3.141577 , Execution time: 9.494507e-01
The result is 3.141577 , Execution time: 9.747591e-01
The result is 3.141577 , Execution time: 9.497526e-01
The result is 3.141577 , Execution time: 9.549499e-01
The result is 3.141577 , Execution time: 9.442859e-01
The result is 3.141577 , Execution time: 9.615860e-01
The result is 3.141577 , Execution time: 9.443779e-01
The result is 3.141577 , Execution time: 9.439902e-01
The result is 3.141577 , Execution time: 9.724581e-01
The result is 3.141577 , Execution time: 9.609299e-01
The result is 3.141577 , Execution time: 9.676023e-01
The result is 3.141577 , Execution time: 9.608855e-01
The result is 3.141577 , Execution time: 9.443102e-01
The result is 3.141577 , Execution time: 9.586227e-01
The result is 3.141577 , Execution time: 9.450769e-01
The result is 3.141577 , Execution time: 9.494801e-01
The result is 3.141577 , Execution time: 9.563026e-01
The result is 3.141577 , Execution time: 9.445357e-01
The result is 3.141577 , Execution time: 9.436758e-01
The result is 3.141577 , Execution time: 9.633217e-01
The result is 3.141577 , Execution time: 9.560466e-01
The result is 3.141577 , Execution time: 9.480121e-01
The result is 3.141577 , Execution time: 9.459248e-01
The result is 3.141577 , Execution time: 9.532104e-01
The result is 3.141577 , Execution time: 9.437635e-01
The result is 3.141577 , Execution time: 9.598269e-01
The result is 3.141577 , Execution time: 9.650021e-01
The result is 3.141577 , Execution time: 9.439073e-01
The result is 3.141577 , Execution time: 9.442835e-01
The result is 3.141577 , Execution time: 9.510713e-01
The result is 3.141577 , Execution time: 9.508085e-01
The result is 3.141577 , Execution time: 9.637992e-01
The result is 3.141577 , Execution time: 9.435277e-01
The result is 3.141577 , Execution time: 9.441028e-01
The result is 3.141577 , Execution time: 9.441741e-01
The result is 3.141577 , Execution time: 9.675093e-01
The result is 3.141577 , Execution time: 9.597976e-01
The result is 3.141577 , Execution time: 9.711492e-01
The result is 3.141577 , Execution time: 9.721549e-01
The result is 3.141577 , Execution time: 9.562967e-01
The result is 3.141577 , Execution time: 9.700377e-01
The result is 3.141577 , Execution time: 9.428596e-01
The result is 3.141577 , Execution time: 9.537814e-01
The result is 3.141577 , Execution time: 9.435303e-01
The result is 3.141577 , Execution time: 9.700284e-01
The result is 3.141577 , Execution time: 9.440820e-01
The result is 3.141577 , Execution time: 9.440341e-01
The result is 3.141577 , Execution time: 9.589291e-01
The result is 3.141577 , Execution time: 9.554505e-01
The result is 3.141577 , Execution time: 9.441719e-01
The result is 3.141577 , Execution time: 9.523547e-01
The result is 3.141577 , Execution time: 9.443395e-01
The result is 3.141577 , Execution time: 9.518132e-01
The result is 3.141577 , Execution time: 9.585946e-01
The result is 3.141577 , Execution time: 9.444816e-01
The result is 3.141577 , Execution time: 9.631078e-01
The result is 3.141577 , Execution time: 9.596210e-01
The result is 3.141577 , Execution time: 9.508855e-01
The result is 3.141577 , Execution time: 9.504223e-01
The result is 3.141577 , Execution time: 9.526651e-01
The result is 3.141577 , Execution time: 9.441049e-01
The result is 3.141577 , Execution time: 9.434702e-01
The result is 3.141577 , Execution time: 9.596777e-01
The result is 3.141577 , Execution time: 9.543173e-01
The result is 3.141577 , Execution time: 9.484415e-01
The result is 3.141577 , Execution time: 9.444995e-01
The result is 3.141577 , Execution time: 9.528308e-01
The result is 3.141577 , Execution time: 9.502273e-01
The result is 3.141577 , Execution time: 1.018780e+00
The result is 3.141577 , Execution time: 9.581504e-01
The result is 3.141577 , Execution time: 9.757836e-01
The result is 3.141577 , Execution time: 9.663463e-01
The result is 3.141577 , Execution time: 9.438255e-01
The result is 3.141577 , Execution time: 9.649179e-01
The result is 3.141577 , Execution time: 9.433675e-01
The result is 3.141577 , Execution time: 9.452865e-01
The result is 3.141577 , Execution time: 9.435942e-01
The result is 3.141577 , Execution time: 9.752140e-01
The result is 3.141577 , Execution time: 9.442935e-01
