
The result is 3.141614 , Execution time: 6.717956e-01
The result is 3.141614 , Execution time: 6.701045e-01
The result is 3.141614 , Execution time: 6.689939e-01
The result is 3.141614 , Execution time: 6.718740e-01
The result is 3.141614 , Execution time: 6.704836e-01
The result is 3.141614 , Execution time: 6.715646e-01
The result is 3.141614 , Execution time: 6.691732e-01
The result is 3.141614 , Execution time: 6.703925e-01
The result is 3.141614 , Execution time: 6.720781e-01
The result is 3.141614 , Execution time: 6.723113e-01
The result is 3.141614 , Execution time: 6.693287e-01
The result is 3.141614 , Execution time: 6.719778e-01
The result is 3.141614 , Execution time: 6.721964e-01
The result is 3.141614 , Execution time: 6.716173e-01
The result is 3.141614 , Execution time: 6.693625e-01
The result is 3.141614 , Execution time: 6.722319e-01
The result is 3.141614 , Execution time: 6.693933e-01
The result is 3.141614 , Execution time: 6.720285e-01
The result is 3.141614 , Execution time: 6.694803e-01
The result is 3.141614 , Execution time: 6.721053e-01
The result is 3.141614 , Execution time: 6.726387e-01
The result is 3.141614 , Execution time: 6.716814e-01
The result is 3.141614 , Execution time: 6.723673e-01
The result is 3.141614 , Execution time: 6.720221e-01
The result is 3.141614 , Execution time: 6.721706e-01
The result is 3.141614 , Execution time: 6.699111e-01
The result is 3.141614 , Execution time: 6.713810e-01
The result is 3.141614 , Execution time: 6.719284e-01
The result is 3.141614 , Execution time: 6.723716e-01
The result is 3.141614 , Execution time: 6.722291e-01
The result is 3.141614 , Execution time: 6.700301e-01
The result is 3.141614 , Execution time: 6.698437e-01
The result is 3.141614 , Execution time: 6.721773e-01
The result is 3.141614 , Execution time: 6.703568e-01
The result is 3.141614 , Execution time: 6.698847e-01
The result is 3.141614 , Execution time: 6.726589e-01
The result is 3.141614 , Execution time: 6.698153e-01
The result is 3.141614 , Execution time: 6.710415e-01
The result is 3.141614 , Execution time: 6.697102e-01
The result is 3.141614 , Execution time: 6.723995e-01
The result is 3.141614 , Execution time: 6.719723e-01
The result is 3.141614 , Execution time: 6.725788e-01
The result is 3.141614 , Execution time: 6.719637e-01
The result is 3.141614 , Execution time: 6.699045e-01
The result is 3.141614 , Execution time: 6.727426e-01
The result is 3.141614 , Execution time: 6.708148e-01
The result is 3.141614 , Execution time: 6.723919e-01
The result is 3.141614 , Execution time: 6.702337e-01
The result is 3.141614 , Execution time: 6.707017e-01
The result is 3.141614 , Execution time: 6.699147e-01
The result is 3.141614 , Execution time: 6.722221e-01
The result is 3.141614 , Execution time: 6.716723e-01
The result is 3.141614 , Execution time: 6.713753e-01
The result is 3.141614 , Execution time: 6.733234e-01
The result is 3.141614 , Execution time: 6.718347e-01
The result is 3.141614 , Execution time: 6.729455e-01
The result is 3.141614 , Execution time: 6.697516e-01
The result is 3.141614 , Execution time: 6.717424e-01
The result is 3.141614 , Execution time: 6.699750e-01
The result is 3.141614 , Execution time: 6.700585e-01
The result is 3.141614 , Execution time: 6.725669e-01
The result is 3.141614 , Execution time: 6.734729e-01
The result is 3.141614 , Execution time: 6.718132e-01
The result is 3.141614 , Execution time: 6.710987e-01
The result is 3.141614 , Execution time: 6.727648e-01
The result is 3.141614 , Execution time: 6.721926e-01
The result is 3.141614 , Execution time: 6.698556e-01
The result is 3.141614 , Execution time: 6.721303e-01
The result is 3.141614 , Execution time: 6.722457e-01
The result is 3.141614 , Execution time: 6.734114e-01
The result is 3.141614 , Execution time: 6.725450e-01
The result is 3.141614 , Execution time: 6.700532e-01
The result is 3.141614 , Execution time: 6.731663e-01
The result is 3.141614 , Execution time: 6.705685e-01
The result is 3.141614 , Execution time: 6.726472e-01
The result is 3.141614 , Execution time: 6.698775e-01
The result is 3.141614 , Execution time: 6.727076e-01
The result is 3.141614 , Execution time: 6.725471e-01
The result is 3.141614 , Execution time: 6.730568e-01
The result is 3.141614 , Execution time: 6.721709e-01
The result is 3.141614 , Execution time: 6.722960e-01
The result is 3.141614 , Execution time: 6.724315e-01
The result is 3.141614 , Execution time: 6.727800e-01
The result is 3.141614 , Execution time: 6.723406e-01
The result is 3.141614 , Execution time: 6.700442e-01
The result is 3.141614 , Execution time: 6.730456e-01
The result is 3.141614 , Execution time: 6.719174e-01
The result is 3.141614 , Execution time: 6.719246e-01
The result is 3.141614 , Execution time: 6.731153e-01
The result is 3.141614 , Execution time: 6.703839e-01
The result is 3.141614 , Execution time: 6.710219e-01
The result is 3.141614 , Execution time: 6.721780e-01
The result is 3.141614 , Execution time: 6.700408e-01
The result is 3.141614 , Execution time: 6.726687e-01
The result is 3.141614 , Execution time: 6.714554e-01
The result is 3.141614 , Execution time: 6.734033e-01
The result is 3.141614 , Execution time: 6.721935e-01
The result is 3.141614 , Execution time: 6.731067e-01
The result is 3.141614 , Execution time: 6.728766e-01
The result is 3.141614 , Execution time: 6.728733e-01
