
The result is 3.141601 , Execution time: 3.411333e+00
The result is 3.141601 , Execution time: 3.353437e+00
The result is 3.141601 , Execution time: 3.371600e+00
The result is 3.141601 , Execution time: 3.386062e+00
The result is 3.141601 , Execution time: 3.367527e+00
The result is 3.141601 , Execution time: 3.387106e+00
The result is 3.141601 , Execution time: 3.371822e+00
The result is 3.141601 , Execution time: 3.387695e+00
The result is 3.141601 , Execution time: 3.668298e+00
The result is 3.141601 , Execution time: 3.645587e+00
The result is 3.141601 , Execution time: 3.362221e+00
The result is 3.141601 , Execution time: 3.376874e+00
The result is 3.141601 , Execution time: 3.370457e+00
The result is 3.141601 , Execution time: 3.360349e+00
The result is 3.141601 , Execution time: 3.651067e+00
The result is 3.141601 , Execution time: 3.651809e+00
The result is 3.141601 , Execution time: 3.681904e+00
The result is 3.141601 , Execution time: 3.348675e+00
The result is 3.141601 , Execution time: 3.660912e+00
The result is 3.141601 , Execution time: 3.362138e+00
The result is 3.141601 , Execution time: 3.673759e+00
The result is 3.141601 , Execution time: 3.384115e+00
The result is 3.141601 , Execution time: 3.686592e+00
The result is 3.141601 , Execution time: 3.365983e+00
The result is 3.141601 , Execution time: 3.679137e+00
The result is 3.141601 , Execution time: 3.419400e+00
The result is 3.141601 , Execution time: 3.378515e+00
The result is 3.141601 , Execution time: 3.364822e+00
The result is 3.141601 , Execution time: 3.349445e+00
The result is 3.141601 , Execution time: 3.652947e+00
The result is 3.141601 , Execution time: 3.348095e+00
The result is 3.141601 , Execution time: 3.681926e+00
The result is 3.141601 , Execution time: 3.378453e+00
The result is 3.141601 , Execution time: 3.347793e+00
The result is 3.141601 , Execution time: 3.662522e+00
The result is 3.141601 , Execution time: 3.349394e+00
The result is 3.141601 , Execution time: 3.668597e+00
The result is 3.141601 , Execution time: 3.389129e+00
The result is 3.141601 , Execution time: 3.358344e+00
The result is 3.141601 , Execution time: 3.723303e+00
The result is 3.141601 , Execution time: 3.652361e+00
The result is 3.141601 , Execution time: 3.351808e+00
The result is 3.141601 , Execution time: 3.360442e+00
The result is 3.141601 , Execution time: 3.672836e+00
The result is 3.141601 , Execution time: 3.685715e+00
The result is 3.141601 , Execution time: 3.366702e+00
The result is 3.141601 , Execution time: 3.671056e+00
The result is 3.141601 , Execution time: 3.669616e+00
The result is 3.141601 , Execution time: 3.382431e+00
The result is 3.141601 , Execution time: 3.369245e+00
The result is 3.141601 , Execution time: 3.655045e+00
The result is 3.141601 , Execution time: 3.364020e+00
The result is 3.141601 , Execution time: 3.634053e+00
The result is 3.141601 , Execution time: 3.367104e+00
The result is 3.141601 , Execution time: 3.628515e+00
The result is 3.141601 , Execution time: 3.363586e+00
The result is 3.141601 , Execution time: 3.647210e+00
The result is 3.141601 , Execution time: 3.385971e+00
The result is 3.141601 , Execution time: 3.703518e+00
The result is 3.141601 , Execution time: 3.420514e+00
The result is 3.141601 , Execution time: 3.384105e+00
The result is 3.141601 , Execution time: 3.390880e+00
The result is 3.141601 , Execution time: 3.376339e+00
The result is 3.141601 , Execution time: 3.365852e+00
The result is 3.141601 , Execution time: 3.687248e+00
The result is 3.141601 , Execution time: 3.366841e+00
The result is 3.141601 , Execution time: 3.676600e+00
The result is 3.141601 , Execution time: 3.712254e+00
The result is 3.141601 , Execution time: 3.348610e+00
The result is 3.141601 , Execution time: 3.379447e+00
The result is 3.141601 , Execution time: 3.670784e+00
The result is 3.141601 , Execution time: 3.393120e+00
The result is 3.141601 , Execution time: 3.347776e+00
The result is 3.141601 , Execution time: 3.656314e+00
The result is 3.141601 , Execution time: 3.353410e+00
The result is 3.141601 , Execution time: 3.691954e+00
The result is 3.141601 , Execution time: 3.337352e+00
The result is 3.141601 , Execution time: 3.363367e+00
