
The result is 3.141577 , Execution time: 9.786141e-01
The result is 3.141577 , Execution time: 9.759822e-01
The result is 3.141577 , Execution time: 9.585340e-01
The result is 3.141577 , Execution time: 9.683964e-01
The result is 3.141577 , Execution time: 9.635568e-01
The result is 3.141577 , Execution time: 9.578288e-01
The result is 3.141577 , Execution time: 9.612892e-01
The result is 3.141577 , Execution time: 9.637403e-01
The result is 3.141577 , Execution time: 9.659066e-01
The result is 3.141577 , Execution time: 9.677408e-01
The result is 3.141577 , Execution time: 9.584148e-01
The result is 3.141577 , Execution time: 9.619892e-01
The result is 3.141577 , Execution time: 9.654543e-01
The result is 3.141577 , Execution time: 9.620402e-01
The result is 3.141577 , Execution time: 9.837785e-01
The result is 3.141577 , Execution time: 9.622610e-01
The result is 3.141577 , Execution time: 9.569085e-01
The result is 3.141577 , Execution time: 9.809406e-01
The result is 3.141577 , Execution time: 9.623201e-01
The result is 3.141577 , Execution time: 9.695988e-01
The result is 3.141577 , Execution time: 9.581876e-01
The result is 3.141577 , Execution time: 9.578805e-01
The result is 3.141577 , Execution time: 9.643297e-01
The result is 3.141577 , Execution time: 9.650238e-01
The result is 3.141577 , Execution time: 9.583828e-01
The result is 3.141577 , Execution time: 9.712515e-01
The result is 3.141577 , Execution time: 9.677157e-01
The result is 3.141577 , Execution time: 9.691424e-01
The result is 3.141577 , Execution time: 9.584787e-01
The result is 3.141577 , Execution time: 9.658451e-01
The result is 3.141577 , Execution time: 9.613168e-01
The result is 3.141577 , Execution time: 9.680622e-01
The result is 3.141577 , Execution time: 9.600027e-01
The result is 3.141577 , Execution time: 9.581780e-01
The result is 3.141577 , Execution time: 9.667351e-01
The result is 3.141577 , Execution time: 9.785054e-01
The result is 3.141577 , Execution time: 9.735165e-01
The result is 3.141577 , Execution time: 9.792287e-01
The result is 3.141577 , Execution time: 9.749308e-01
The result is 3.141577 , Execution time: 9.649751e-01
The result is 3.141577 , Execution time: 9.590261e-01
The result is 3.141577 , Execution time: 9.733479e-01
The result is 3.141577 , Execution time: 9.580369e-01
The result is 3.141577 , Execution time: 9.775007e-01
The result is 3.141577 , Execution time: 9.583197e-01
The result is 3.141577 , Execution time: 9.588096e-01
The result is 3.141577 , Execution time: 9.821434e-01
The result is 3.141577 , Execution time: 9.609141e-01
The result is 3.141577 , Execution time: 9.582376e-01
The result is 3.141577 , Execution time: 9.684856e-01
The result is 3.141577 , Execution time: 9.618585e-01
The result is 3.141577 , Execution time: 9.636555e-01
The result is 3.141577 , Execution time: 9.604838e-01
The result is 3.141577 , Execution time: 9.610198e-01
The result is 3.141577 , Execution time: 9.691262e-01
The result is 3.141577 , Execution time: 9.590096e-01
The result is 3.141577 , Execution time: 9.702768e-01
The result is 3.141577 , Execution time: 9.733019e-01
The result is 3.141577 , Execution time: 9.664221e-01
The result is 3.141577 , Execution time: 9.602361e-01
The result is 3.141577 , Execution time: 9.678009e-01
The result is 3.141577 , Execution time: 9.610863e-01
The result is 3.141577 , Execution time: 9.577298e-01
The result is 3.141577 , Execution time: 9.619489e-01
The result is 3.141577 , Execution time: 9.621165e-01
The result is 3.141577 , Execution time: 9.699271e-01
The result is 3.141577 , Execution time: 9.589465e-01
The result is 3.141577 , Execution time: 9.585996e-01
The result is 3.141577 , Execution time: 9.685080e-01
The result is 3.141577 , Execution time: 9.596028e-01
The result is 3.141577 , Execution time: 9.581618e-01
The result is 3.141577 , Execution time: 9.576304e-01
The result is 3.141577 , Execution time: 9.630878e-01
The result is 3.141577 , Execution time: 9.621134e-01
The result is 3.141577 , Execution time: 9.583766e-01
The result is 3.141577 , Execution time: 9.585657e-01
The result is 3.141577 , Execution time: 9.583218e-01
The result is 3.141577 , Execution time: 9.577081e-01
The result is 3.141577 , Execution time: 9.573624e-01
The result is 3.141577 , Execution time: 9.620488e-01
The result is 3.141577 , Execution time: 9.678617e-01
The result is 3.141577 , Execution time: 9.583519e-01
The result is 3.141577 , Execution time: 9.580929e-01
The result is 3.141577 , Execution time: 9.644043e-01
The result is 3.141577 , Execution time: 9.675553e-01
The result is 3.141577 , Execution time: 9.634335e-01
The result is 3.141577 , Execution time: 9.680235e-01
The result is 3.141577 , Execution time: 9.764185e-01
The result is 3.141577 , Execution time: 9.611511e-01
The result is 3.141577 , Execution time: 9.577930e-01
The result is 3.141577 , Execution time: 9.675598e-01
The result is 3.141577 , Execution time: 9.587998e-01
The result is 3.141577 , Execution time: 9.663086e-01
The result is 3.141577 , Execution time: 9.803925e-01
The result is 3.141577 , Execution time: 9.565828e-01
The result is 3.141577 , Execution time: 9.775558e-01
The result is 3.141577 , Execution time: 9.690504e-01
The result is 3.141577 , Execution time: 9.827650e-01
The result is 3.141577 , Execution time: 9.614060e-01
The result is 3.141577 , Execution time: 9.703212e-01
