
The result is 3.141581 , Execution time: 4.569554e-02
The result is 3.141581 , Execution time: 3.427687e-01
The result is 3.141581 , Execution time: 2.651083e-01
The result is 3.141581 , Execution time: 2.765656e-05
The result is 3.141581 , Execution time: 1.867998e-01
The result is 3.141581 , Execution time: 2.467296e-01
The result is 3.141581 , Execution time: 2.367704e-01
The result is 3.141581 , Execution time: 1.379900e-01
The result is 3.141581 , Execution time: 1.470361e-01
The result is 3.141581 , Execution time: 5.576658e-02
The result is 3.141581 , Execution time: 2.641027e-01
The result is 3.141581 , Execution time: 2.130373e-01
The result is 3.141581 , Execution time: 3.415310e-01
The result is 3.141581 , Execution time: 1.590047e-01
The result is 3.141581 , Execution time: 2.672522e-01
The result is 3.141581 , Execution time: 4.678082e-02
The result is 3.141581 , Execution time: 9.877586e-02
The result is 3.141581 , Execution time: 1.859870e-01
The result is 3.141581 , Execution time: 2.500720e-01
The result is 3.141581 , Execution time: 5.355501e-02
The result is 3.141581 , Execution time: 2.085550e-01
The result is 3.141581 , Execution time: 1.006579e-01
The result is 3.141581 , Execution time: 3.121042e-02
The result is 3.141581 , Execution time: 3.032613e-02
The result is 3.141581 , Execution time: 6.394815e-02
The result is 3.141581 , Execution time: 1.904807e-01
The result is 3.141581 , Execution time: 2.315655e-01
The result is 3.141581 , Execution time: 3.381090e-01
The result is 3.141581 , Execution time: 2.539971e-01
The result is 3.141581 , Execution time: 4.507208e-02
The result is 3.141581 , Execution time: 2.494743e-01
The result is 3.141581 , Execution time: 1.814127e-02
The result is 3.141581 , Execution time: 3.362243e-01
The result is 3.141581 , Execution time: 5.202103e-02
The result is 3.141581 , Execution time: 2.708271e-01
The result is 3.141581 , Execution time: 3.471637e-02
The result is 3.141581 , Execution time: 1.889853e-01
The result is 3.141581 , Execution time: 5.034518e-02
The result is 3.141581 , Execution time: 2.785382e-01
The result is 3.141581 , Execution time: 2.327104e-01
The result is 3.141581 , Execution time: 2.786453e-01
The result is 3.141581 , Execution time: 2.719448e-01
The result is 3.141581 , Execution time: 2.377691e-01
The result is 3.141581 , Execution time: 2.724454e-01
The result is 3.141581 , Execution time: 4.103398e-02
The result is 3.141581 , Execution time: 3.151369e-02
The result is 3.141581 , Execution time: 2.350335e-01
The result is 3.141581 , Execution time: 3.293467e-01
The result is 3.141581 , Execution time: 2.693851e-01
The result is 3.141581 , Execution time: 3.088374e-01
The result is 3.141581 , Execution time: 2.616112e-01
The result is 3.141581 , Execution time: 2.570126e-01
The result is 3.141581 , Execution time: 1.320987e-01
The result is 3.141581 , Execution time: 2.419879e-01
The result is 3.141581 , Execution time: 1.733038e-01
The result is 3.141581 , Execution time: 1.770985e-01
The result is 3.141581 , Execution time: 3.075600e-05
The result is 3.141581 , Execution time: 1.653085e-01
The result is 3.141581 , Execution time: 2.693982e-01
The result is 3.141581 , Execution time: 4.170775e-02
The result is 3.141581 , Execution time: 2.683213e-01
The result is 3.141581 , Execution time: 3.307157e-01
The result is 3.141581 , Execution time: 2.012839e-01
The result is 3.141581 , Execution time: 2.814600e-01
The result is 3.141581 , Execution time: 3.807235e-02
The result is 3.141581 , Execution time: 2.539783e-01
The result is 3.141581 , Execution time: 1.843224e-01
The result is 3.141581 , Execution time: 2.533524e-01
The result is 3.141581 , Execution time: 2.530105e-01
The result is 3.141581 , Execution time: 1.798539e-01
The result is 3.141581 , Execution time: 2.987015e-01
The result is 3.141581 , Execution time: 1.427293e-01
The result is 3.141581 , Execution time: 3.947592e-02
The result is 3.141581 , Execution time: 1.718221e-01
The result is 3.141581 , Execution time: 2.270994e-01
The result is 3.141581 , Execution time: 2.687819e-01
The result is 3.141581 , Execution time: 1.053810e-03
The result is 3.141581 , Execution time: 4.515314e-02
The result is 3.141581 , Execution time: 1.325021e-01
The result is 3.141581 , Execution time: 8.284593e-02
The result is 3.141581 , Execution time: 4.865360e-02
The result is 3.141581 , Execution time: 4.684401e-02
The result is 3.141581 , Execution time: 3.202744e-01
The result is 3.141581 , Execution time: 2.735090e-01
The result is 3.141581 , Execution time: 2.399464e-01
The result is 3.141581 , Execution time: 2.466037e-01
The result is 3.141581 , Execution time: 6.163859e-02
The result is 3.141581 , Execution time: 2.461491e-01
The result is 3.141581 , Execution time: 2.496612e-01
The result is 3.141581 , Execution time: 2.548294e-01
The result is 3.141581 , Execution time: 2.708905e-01
The result is 3.141581 , Execution time: 2.788484e-01
The result is 3.141581 , Execution time: 3.114653e-02
The result is 3.141581 , Execution time: 3.257847e-02
The result is 3.141581 , Execution time: 1.955397e-01
The result is 3.141581 , Execution time: 3.263326e-01
The result is 3.141581 , Execution time: 1.960232e-01
The result is 3.141581 , Execution time: 2.641120e-01
The result is 3.141581 , Execution time: 3.386092e-01
The result is 3.141581 , Execution time: 2.802205e-02
