
The result is 3.141601 , Execution time: 3.901649e-02
The result is 3.141601 , Execution time: 2.979302e-02
The result is 3.141601 , Execution time: 3.013110e-02
The result is 3.141601 , Execution time: 3.243470e-02
The result is 3.141601 , Execution time: 1.729250e-03
The result is 3.141601 , Execution time: 1.703522e-01
The result is 3.141601 , Execution time: 8.082390e-03
The result is 3.141601 , Execution time: 6.041098e-02
The result is 3.141601 , Execution time: 3.262401e-02
The result is 3.141601 , Execution time: 1.551120e-01
The result is 3.141601 , Execution time: 1.576643e-01
The result is 3.141601 , Execution time: 1.592770e-01
The result is 3.141601 , Execution time: 3.933907e-05
The result is 3.141601 , Execution time: 1.857519e-01
The result is 3.141601 , Execution time: 1.444144e-01
The result is 3.141601 , Execution time: 2.025774e-01
The result is 3.141601 , Execution time: 2.022281e-01
The result is 3.141601 , Execution time: 6.271124e-03
The result is 3.141601 , Execution time: 1.480501e-01
The result is 3.141601 , Execution time: 3.647804e-05
The result is 3.141601 , Execution time: 1.687467e-01
The result is 3.141601 , Execution time: 1.284335e-01
The result is 3.141601 , Execution time: 1.631744e-01
The result is 3.141601 , Execution time: 1.552360e-01
The result is 3.141601 , Execution time: 1.819694e-01
The result is 3.141601 , Execution time: 5.303478e-02
The result is 3.141601 , Execution time: 1.467943e-03
The result is 3.141601 , Execution time: 1.573977e-01
The result is 3.141601 , Execution time: 9.074211e-04
The result is 3.141601 , Execution time: 8.339882e-04
The result is 3.141601 , Execution time: 2.074242e-05
The result is 3.141601 , Execution time: 1.185584e-01
The result is 3.141601 , Execution time: 1.110711e-01
The result is 3.141601 , Execution time: 2.134967e-02
The result is 3.141601 , Execution time: 5.054474e-05
The result is 3.141601 , Execution time: 2.131939e-03
The result is 3.141601 , Execution time: 1.530659e-01
The result is 3.141601 , Execution time: 1.358795e-02
The result is 3.141601 , Execution time: 1.455941e-01
The result is 3.141601 , Execution time: 3.623962e-05
The result is 3.141601 , Execution time: 1.522596e-01
The result is 3.141601 , Execution time: 9.542274e-02
The result is 3.141601 , Execution time: 1.640005e-01
The result is 3.141601 , Execution time: 1.321602e-02
The result is 3.141601 , Execution time: 1.581776e-01
The result is 3.141601 , Execution time: 3.409386e-05
The result is 3.141601 , Execution time: 3.480911e-05
The result is 3.141601 , Execution time: 1.954808e-01
The result is 3.141601 , Execution time: 1.614223e-01
The result is 3.141601 , Execution time: 1.162124e-02
The result is 3.141601 , Execution time: 9.579659e-04
The result is 3.141601 , Execution time: 2.170086e-03
The result is 3.141601 , Execution time: 2.214670e-03
The result is 3.141601 , Execution time: 1.003575e-02
The result is 3.141601 , Execution time: 2.374656e-01
The result is 3.141601 , Execution time: 2.145767e-05
The result is 3.141601 , Execution time: 1.473091e-01
The result is 3.141601 , Execution time: 1.581669e-03
The result is 3.141601 , Execution time: 8.902168e-02
The result is 3.141601 , Execution time: 1.684391e-01
The result is 3.141601 , Execution time: 8.668733e-02
The result is 3.141601 , Execution time: 3.572750e-02
The result is 3.141601 , Execution time: 1.377640e-01
The result is 3.141601 , Execution time: 2.336502e-05
The result is 3.141601 , Execution time: 2.431870e-05
The result is 3.141601 , Execution time: 7.231975e-02
The result is 3.141601 , Execution time: 1.431365e-01
The result is 3.141601 , Execution time: 9.586930e-02
The result is 3.141601 , Execution time: 1.600981e-03
The result is 3.141601 , Execution time: 1.116869e-01
The result is 3.141601 , Execution time: 2.677202e-03
The result is 3.141601 , Execution time: 1.636574e-01
The result is 3.141601 , Execution time: 4.076958e-05
The result is 3.141601 , Execution time: 1.611233e-03
The result is 3.141601 , Execution time: 1.555300e-01
The result is 3.141601 , Execution time: 1.774187e-01
The result is 3.141601 , Execution time: 8.660412e-02
The result is 3.141601 , Execution time: 3.435206e-02
The result is 3.141601 , Execution time: 1.354218e-03
The result is 3.141601 , Execution time: 1.216209e-01
The result is 3.141601 , Execution time: 1.010895e-04
The result is 3.141601 , Execution time: 5.578947e-02
The result is 3.141601 , Execution time: 1.073456e-02
The result is 3.141601 , Execution time: 5.609536e-02
The result is 3.141601 , Execution time: 3.576279e-05
The result is 3.141601 , Execution time: 9.714770e-02
The result is 3.141601 , Execution time: 1.545589e-01
The result is 3.141601 , Execution time: 1.459646e-01
The result is 3.141601 , Execution time: 1.454592e-03
The result is 3.141601 , Execution time: 2.133131e-03
The result is 3.141601 , Execution time: 1.751964e-01
The result is 3.141601 , Execution time: 1.635585e-01
The result is 3.141601 , Execution time: 8.618736e-02
The result is 3.141601 , Execution time: 9.775162e-06
The result is 3.141601 , Execution time: 7.072115e-02
The result is 3.141601 , Execution time: 2.670288e-05
The result is 3.141601 , Execution time: 1.541457e-01
The result is 3.141601 , Execution time: 2.810335e-02
The result is 3.141601 , Execution time: 1.979589e-03
The result is 3.141601 , Execution time: 3.790855e-05
