
The result is 3.141601 , Execution time: 3.382377e+00
The result is 3.141601 , Execution time: 3.274077e+00
The result is 3.141601 , Execution time: 3.451315e+00
The result is 3.141601 , Execution time: 3.338793e+00
The result is 3.141601 , Execution time: 3.322598e+00
The result is 3.141601 , Execution time: 3.341033e+00
The result is 3.141601 , Execution time: 3.340271e+00
The result is 3.141601 , Execution time: 3.360590e+00
The result is 3.141601 , Execution time: 3.352462e+00
The result is 3.141601 , Execution time: 3.354740e+00
The result is 3.141601 , Execution time: 3.595442e+00
The result is 3.141601 , Execution time: 3.651603e+00
The result is 3.141601 , Execution time: 3.299635e+00
The result is 3.141601 , Execution time: 3.614290e+00
The result is 3.141601 , Execution time: 3.610525e+00
The result is 3.141601 , Execution time: 3.328896e+00
The result is 3.141601 , Execution time: 3.600945e+00
The result is 3.141601 , Execution time: 3.300931e+00
The result is 3.141601 , Execution time: 3.315517e+00
The result is 3.141601 , Execution time: 3.306860e+00
The result is 3.141601 , Execution time: 3.322026e+00
The result is 3.141601 , Execution time: 3.301675e+00
The result is 3.141601 , Execution time: 3.299787e+00
The result is 3.141601 , Execution time: 3.601294e+00
The result is 3.141601 , Execution time: 3.347010e+00
The result is 3.141601 , Execution time: 3.602289e+00
The result is 3.141601 , Execution time: 3.652258e+00
The result is 3.141601 , Execution time: 3.330905e+00
The result is 3.141601 , Execution time: 3.646569e+00
The result is 3.141601 , Execution time: 3.655279e+00
The result is 3.141601 , Execution time: 3.311343e+00
The result is 3.141601 , Execution time: 3.326625e+00
The result is 3.141601 , Execution time: 3.348317e+00
The result is 3.141601 , Execution time: 3.327285e+00
The result is 3.141601 , Execution time: 3.329165e+00
The result is 3.141601 , Execution time: 3.407064e+00
The result is 3.141601 , Execution time: 3.335892e+00
The result is 3.141601 , Execution time: 3.273895e+00
The result is 3.141601 , Execution time: 3.332670e+00
The result is 3.141601 , Execution time: 3.607914e+00
The result is 3.141601 , Execution time: 3.320112e+00
The result is 3.141601 , Execution time: 3.631349e+00
The result is 3.141601 , Execution time: 3.316976e+00
The result is 3.141601 , Execution time: 3.315413e+00
The result is 3.141601 , Execution time: 3.585210e+00
The result is 3.141601 , Execution time: 3.308568e+00
The result is 3.141601 , Execution time: 3.340599e+00
The result is 3.141601 , Execution time: 3.307235e+00
The result is 3.141601 , Execution time: 3.592060e+00
The result is 3.141601 , Execution time: 3.316711e+00
The result is 3.141601 , Execution time: 3.629675e+00
The result is 3.141601 , Execution time: 3.350876e+00
The result is 3.141601 , Execution time: 3.672711e+00
The result is 3.141601 , Execution time: 3.331687e+00
The result is 3.141601 , Execution time: 3.338129e+00
The result is 3.141601 , Execution time: 3.337080e+00
The result is 3.141601 , Execution time: 3.348052e+00
The result is 3.141601 , Execution time: 3.648721e+00
The result is 3.141601 , Execution time: 3.303760e+00
The result is 3.141601 , Execution time: 3.657445e+00
The result is 3.141601 , Execution time: 3.300682e+00
The result is 3.141601 , Execution time: 3.318743e+00
The result is 3.141601 , Execution time: 3.479921e+00
The result is 3.141601 , Execution time: 3.328259e+00
The result is 3.141601 , Execution time: 3.339916e+00
The result is 3.141601 , Execution time: 3.334412e+00
The result is 3.141601 , Execution time: 3.596673e+00
The result is 3.141601 , Execution time: 3.319768e+00
The result is 3.141601 , Execution time: 3.452969e+00
The result is 3.141601 , Execution time: 3.316829e+00
The result is 3.141601 , Execution time: 3.306461e+00
The result is 3.141601 , Execution time: 3.593089e+00
The result is 3.141601 , Execution time: 3.299602e+00
The result is 3.141601 , Execution time: 3.590686e+00
The result is 3.141601 , Execution time: 3.671011e+00
The result is 3.141601 , Execution time: 3.323826e+00
The result is 3.141601 , Execution time: 3.319736e+00
The result is 3.141601 , Execution time: 3.610763e+00
The result is 3.141601 , Execution time: 3.305845e+00
The result is 3.141601 , Execution time: 3.335485e+00
The result is 3.141601 , Execution time: 3.331392e+00
The result is 3.141601 , Execution time: 3.647776e+00
The result is 3.141601 , Execution time: 3.333045e+00
The result is 3.141601 , Execution time: 3.634832e+00
The result is 3.141601 , Execution time: 3.426421e+00
The result is 3.141601 , Execution time: 3.352971e+00
The result is 3.141601 , Execution time: 3.321006e+00
The result is 3.141601 , Execution time: 3.621250e+00
The result is 3.141601 , Execution time: 3.322896e+00
The result is 3.141601 , Execution time: 3.573054e+00
The result is 3.141601 , Execution time: 3.633182e+00
The result is 3.141601 , Execution time: 3.682029e+00
The result is 3.141601 , Execution time: 3.324873e+00
The result is 3.141601 , Execution time: 3.359558e+00
The result is 3.141601 , Execution time: 3.351698e+00
The result is 3.141601 , Execution time: 3.348132e+00
The result is 3.141601 , Execution time: 3.652872e+00
The result is 3.141601 , Execution time: 3.320159e+00
The result is 3.141601 , Execution time: 3.335824e+00
The result is 3.141601 , Execution time: 3.646301e+00
