
The result is 3.141614 , Execution time: 2.646446e-05
The result is 3.141614 , Execution time: 2.307415e-03
The result is 3.141614 , Execution time: 2.431870e-05
The result is 3.141614 , Execution time: 2.121925e-05
The result is 3.141614 , Execution time: 2.455711e-05
The result is 3.141614 , Execution time: 2.217293e-05
The result is 3.141614 , Execution time: 2.598763e-05
The result is 3.141614 , Execution time: 1.677990e-03
The result is 3.141614 , Execution time: 2.241135e-05
The result is 3.141614 , Execution time: 2.455711e-05
The result is 3.141614 , Execution time: 1.513004e-03
The result is 3.141614 , Execution time: 1.620054e-03
The result is 3.141614 , Execution time: 5.383492e-04
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 2.455711e-05
The result is 3.141614 , Execution time: 1.672983e-03
The result is 3.141614 , Execution time: 2.574921e-05
The result is 3.141614 , Execution time: 1.854897e-03
The result is 3.141614 , Execution time: 2.717972e-05
The result is 3.141614 , Execution time: 2.574921e-05
The result is 3.141614 , Execution time: 2.074242e-05
The result is 3.141614 , Execution time: 2.694130e-05
The result is 3.141614 , Execution time: 2.479553e-05
The result is 3.141614 , Execution time: 2.360344e-05
The result is 3.141614 , Execution time: 2.455711e-05
The result is 3.141614 , Execution time: 2.241135e-05
The result is 3.141614 , Execution time: 2.622604e-05
The result is 3.141614 , Execution time: 2.408028e-05
The result is 3.141614 , Execution time: 2.479553e-05
The result is 3.141614 , Execution time: 2.312660e-05
The result is 3.141614 , Execution time: 2.455711e-05
The result is 3.141614 , Execution time: 1.270294e-03
The result is 3.141614 , Execution time: 2.384186e-05
The result is 3.141614 , Execution time: 2.694130e-05
The result is 3.141614 , Execution time: 2.813339e-05
The result is 3.141614 , Execution time: 9.012222e-04
The result is 3.141614 , Execution time: 2.288818e-05
The result is 3.141614 , Execution time: 2.264977e-05
The result is 3.141614 , Execution time: 2.193451e-05
The result is 3.141614 , Execution time: 2.765656e-05
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 2.241135e-05
The result is 3.141614 , Execution time: 2.169609e-05
The result is 3.141614 , Execution time: 2.431870e-05
The result is 3.141614 , Execution time: 2.455711e-05
The result is 3.141614 , Execution time: 2.431870e-05
The result is 3.141614 , Execution time: 2.145767e-05
The result is 3.141614 , Execution time: 2.241135e-05
The result is 3.141614 , Execution time: 2.884865e-05
The result is 3.141614 , Execution time: 2.026558e-05
The result is 3.141614 , Execution time: 7.371902e-04
The result is 3.141614 , Execution time: 2.241135e-05
The result is 3.141614 , Execution time: 2.861023e-05
The result is 3.141614 , Execution time: 1.120090e-03
The result is 3.141614 , Execution time: 3.361702e-05
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 8.833408e-04
The result is 3.141614 , Execution time: 5.626678e-04
The result is 3.141614 , Execution time: 2.646446e-05
The result is 3.141614 , Execution time: 2.408028e-05
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 2.479553e-05
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 2.241135e-05
The result is 3.141614 , Execution time: 5.681515e-04
The result is 3.141614 , Execution time: 2.431870e-05
The result is 3.141614 , Execution time: 2.360344e-05
The result is 3.141614 , Execution time: 2.169609e-05
The result is 3.141614 , Execution time: 2.431870e-05
The result is 3.141614 , Execution time: 2.336502e-05
The result is 3.141614 , Execution time: 2.193451e-05
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 2.574921e-05
The result is 3.141614 , Execution time: 4.291534e-05
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 8.881092e-04
The result is 3.141614 , Execution time: 2.169609e-05
The result is 3.141614 , Execution time: 2.455711e-05
The result is 3.141614 , Execution time: 2.312660e-05
The result is 3.141614 , Execution time: 2.384186e-05
The result is 3.141614 , Execution time: 5.402565e-04
The result is 3.141614 , Execution time: 2.813339e-05
The result is 3.141614 , Execution time: 2.574921e-05
The result is 3.141614 , Execution time: 5.791187e-04
The result is 3.141614 , Execution time: 2.503395e-05
The result is 3.141614 , Execution time: 2.050400e-05
The result is 3.141614 , Execution time: 2.598763e-05
The result is 3.141614 , Execution time: 2.789497e-05
The result is 3.141614 , Execution time: 2.431870e-05
The result is 3.141614 , Execution time: 2.312660e-05
The result is 3.141614 , Execution time: 2.169609e-05
The result is 3.141614 , Execution time: 2.408028e-05
The result is 3.141614 , Execution time: 2.408028e-05
The result is 3.141614 , Execution time: 2.479553e-05
The result is 3.141614 , Execution time: 2.204418e-03
The result is 3.141614 , Execution time: 7.379055e-04
The result is 3.141614 , Execution time: 2.384186e-05
