
The result is 3.141614 , Execution time: 7.511113e-01
The result is 3.141614 , Execution time: 7.508414e-01
The result is 3.141614 , Execution time: 7.512879e-01
The result is 3.141614 , Execution time: 7.505054e-01
The result is 3.141614 , Execution time: 7.513571e-01
The result is 3.141614 , Execution time: 7.512748e-01
The result is 3.141614 , Execution time: 7.520127e-01
The result is 3.141614 , Execution time: 7.523222e-01
The result is 3.141614 , Execution time: 7.521026e-01
The result is 3.141614 , Execution time: 7.533565e-01
The result is 3.141614 , Execution time: 7.531791e-01
The result is 3.141614 , Execution time: 7.546446e-01
The result is 3.141614 , Execution time: 7.508960e-01
The result is 3.141614 , Execution time: 7.510827e-01
The result is 3.141614 , Execution time: 7.543004e-01
The result is 3.141614 , Execution time: 7.529676e-01
The result is 3.141614 , Execution time: 7.522559e-01
The result is 3.141614 , Execution time: 7.530835e-01
The result is 3.141614 , Execution time: 7.526190e-01
The result is 3.141614 , Execution time: 7.517676e-01
The result is 3.141614 , Execution time: 7.548366e-01
The result is 3.141614 , Execution time: 7.567527e-01
The result is 3.141614 , Execution time: 7.578876e-01
The result is 3.141614 , Execution time: 7.579341e-01
The result is 3.141614 , Execution time: 7.540078e-01
The result is 3.141614 , Execution time: 7.557886e-01
The result is 3.141614 , Execution time: 7.561047e-01
The result is 3.141614 , Execution time: 7.538745e-01
The result is 3.141614 , Execution time: 7.535791e-01
The result is 3.141614 , Execution time: 7.539768e-01
The result is 3.141614 , Execution time: 7.522299e-01
The result is 3.141614 , Execution time: 7.540078e-01
The result is 3.141614 , Execution time: 7.543046e-01
The result is 3.141614 , Execution time: 7.523496e-01
The result is 3.141614 , Execution time: 7.541571e-01
The result is 3.141614 , Execution time: 7.527349e-01
The result is 3.141614 , Execution time: 7.566826e-01
The result is 3.141614 , Execution time: 7.526731e-01
The result is 3.141614 , Execution time: 7.553694e-01
The result is 3.141614 , Execution time: 7.522013e-01
The result is 3.141614 , Execution time: 7.542899e-01
The result is 3.141614 , Execution time: 7.544734e-01
The result is 3.141614 , Execution time: 7.526331e-01
The result is 3.141614 , Execution time: 7.530124e-01
The result is 3.141614 , Execution time: 7.533133e-01
The result is 3.141614 , Execution time: 7.545519e-01
The result is 3.141614 , Execution time: 7.529159e-01
The result is 3.141614 , Execution time: 7.570803e-01
The result is 3.141614 , Execution time: 7.544873e-01
The result is 3.141614 , Execution time: 7.570710e-01
The result is 3.141614 , Execution time: 7.550676e-01
The result is 3.141614 , Execution time: 7.560897e-01
The result is 3.141614 , Execution time: 7.530863e-01
The result is 3.141614 , Execution time: 7.563965e-01
The result is 3.141614 , Execution time: 7.521732e-01
The result is 3.141614 , Execution time: 7.579715e-01
The result is 3.141614 , Execution time: 7.524955e-01
The result is 3.141614 , Execution time: 7.543786e-01
The result is 3.141614 , Execution time: 7.569211e-01
The result is 3.141614 , Execution time: 7.579162e-01
The result is 3.141614 , Execution time: 7.543998e-01
The result is 3.141614 , Execution time: 7.516372e-01
The result is 3.141614 , Execution time: 7.539408e-01
The result is 3.141614 , Execution time: 7.567306e-01
The result is 3.141614 , Execution time: 7.528868e-01
The result is 3.141614 , Execution time: 7.538638e-01
The result is 3.141614 , Execution time: 7.566576e-01
The result is 3.141614 , Execution time: 7.543933e-01
The result is 3.141614 , Execution time: 7.537858e-01
The result is 3.141614 , Execution time: 7.535048e-01
The result is 3.141614 , Execution time: 7.543714e-01
The result is 3.141614 , Execution time: 7.530274e-01
The result is 3.141614 , Execution time: 7.514927e-01
The result is 3.141614 , Execution time: 7.534757e-01
The result is 3.141614 , Execution time: 7.529483e-01
The result is 3.141614 , Execution time: 7.567055e-01
The result is 3.141614 , Execution time: 7.529061e-01
The result is 3.141614 , Execution time: 7.551572e-01
The result is 3.141614 , Execution time: 7.573640e-01
The result is 3.141614 , Execution time: 7.521064e-01
The result is 3.141614 , Execution time: 7.547507e-01
The result is 3.141614 , Execution time: 7.571018e-01
The result is 3.141614 , Execution time: 7.545102e-01
The result is 3.141614 , Execution time: 7.546747e-01
The result is 3.141614 , Execution time: 7.570195e-01
The result is 3.141614 , Execution time: 7.543838e-01
The result is 3.141614 , Execution time: 7.538915e-01
The result is 3.141614 , Execution time: 7.518620e-01
The result is 3.141614 , Execution time: 7.528684e-01
The result is 3.141614 , Execution time: 7.537892e-01
The result is 3.141614 , Execution time: 7.542198e-01
The result is 3.141614 , Execution time: 7.519519e-01
The result is 3.141614 , Execution time: 7.543464e-01
The result is 3.141614 , Execution time: 7.531431e-01
The result is 3.141614 , Execution time: 7.542369e-01
The result is 3.141614 , Execution time: 7.523904e-01
The result is 3.141614 , Execution time: 7.542994e-01
The result is 3.141614 , Execution time: 7.524676e-01
The result is 3.141614 , Execution time: 7.542140e-01
The result is 3.141614 , Execution time: 7.551539e-01
