
The result is 3.141577 , Execution time: 9.672759e-01
The result is 3.141577 , Execution time: 9.423559e-01
The result is 3.141577 , Execution time: 9.453850e-01
The result is 3.141577 , Execution time: 9.426239e-01
The result is 3.141577 , Execution time: 9.633679e-01
The result is 3.141577 , Execution time: 9.410014e-01
The result is 3.141577 , Execution time: 9.488811e-01
The result is 3.141577 , Execution time: 9.637508e-01
The result is 3.141577 , Execution time: 9.416068e-01
The result is 3.141577 , Execution time: 9.415104e-01
The result is 3.141577 , Execution time: 9.407964e-01
The result is 3.141577 , Execution time: 9.591260e-01
The result is 3.141577 , Execution time: 9.536216e-01
The result is 3.141577 , Execution time: 9.528017e-01
The result is 3.141577 , Execution time: 9.530897e-01
The result is 3.141577 , Execution time: 9.493980e-01
The result is 3.141577 , Execution time: 9.556637e-01
The result is 3.141577 , Execution time: 9.606757e-01
The result is 3.141577 , Execution time: 9.417198e-01
The result is 3.141577 , Execution time: 9.406731e-01
The result is 3.141577 , Execution time: 9.644842e-01
The result is 3.141577 , Execution time: 9.469447e-01
The result is 3.141577 , Execution time: 9.419436e-01
The result is 3.141577 , Execution time: 9.481134e-01
The result is 3.141577 , Execution time: 9.579399e-01
The result is 3.141577 , Execution time: 9.694211e-01
The result is 3.141577 , Execution time: 9.465966e-01
The result is 3.141577 , Execution time: 9.435160e-01
The result is 3.141577 , Execution time: 9.475157e-01
The result is 3.141577 , Execution time: 9.414144e-01
The result is 3.141577 , Execution time: 9.495771e-01
The result is 3.141577 , Execution time: 9.652200e-01
The result is 3.141577 , Execution time: 9.406650e-01
The result is 3.141577 , Execution time: 9.414289e-01
The result is 3.141577 , Execution time: 9.403253e-01
The result is 3.141577 , Execution time: 9.415128e-01
The result is 3.141577 , Execution time: 9.503174e-01
The result is 3.141577 , Execution time: 9.468687e-01
The result is 3.141577 , Execution time: 9.604602e-01
The result is 3.141577 , Execution time: 9.489820e-01
The result is 3.141577 , Execution time: 9.410639e-01
The result is 3.141577 , Execution time: 9.512544e-01
The result is 3.141577 , Execution time: 9.525523e-01
The result is 3.141577 , Execution time: 9.548166e-01
The result is 3.141577 , Execution time: 9.414930e-01
The result is 3.141577 , Execution time: 9.544535e-01
The result is 3.141577 , Execution time: 9.413388e-01
The result is 3.141577 , Execution time: 9.631393e-01
The result is 3.141577 , Execution time: 9.565580e-01
The result is 3.141577 , Execution time: 9.437718e-01
The result is 3.141577 , Execution time: 9.417324e-01
The result is 3.141577 , Execution time: 9.418347e-01
The result is 3.141577 , Execution time: 9.516652e-01
The result is 3.141577 , Execution time: 9.407418e-01
The result is 3.141577 , Execution time: 9.461322e-01
The result is 3.141577 , Execution time: 9.609008e-01
The result is 3.141577 , Execution time: 9.530861e-01
The result is 3.141577 , Execution time: 9.466588e-01
The result is 3.141577 , Execution time: 9.638865e-01
The result is 3.141577 , Execution time: 9.412704e-01
The result is 3.141577 , Execution time: 9.427207e-01
The result is 3.141577 , Execution time: 9.437325e-01
The result is 3.141577 , Execution time: 9.486699e-01
The result is 3.141577 , Execution time: 9.451199e-01
The result is 3.141577 , Execution time: 9.647989e-01
The result is 3.141577 , Execution time: 9.526298e-01
The result is 3.141577 , Execution time: 9.405594e-01
The result is 3.141577 , Execution time: 9.578407e-01
The result is 3.141577 , Execution time: 9.484782e-01
The result is 3.141577 , Execution time: 9.408767e-01
The result is 3.141577 , Execution time: 9.413176e-01
The result is 3.141577 , Execution time: 9.565902e-01
The result is 3.141577 , Execution time: 9.409056e-01
The result is 3.141577 , Execution time: 9.611118e-01
The result is 3.141577 , Execution time: 9.548066e-01
The result is 3.141577 , Execution time: 9.412370e-01
The result is 3.141577 , Execution time: 9.591169e-01
The result is 3.141577 , Execution time: 9.450948e-01
The result is 3.141577 , Execution time: 9.548306e-01
The result is 3.141577 , Execution time: 9.467802e-01
The result is 3.141577 , Execution time: 9.565082e-01
The result is 3.141577 , Execution time: 9.562221e-01
The result is 3.141577 , Execution time: 1.175483e+00
The result is 3.141577 , Execution time: 9.534433e-01
The result is 3.141577 , Execution time: 9.603500e-01
The result is 3.141577 , Execution time: 9.666431e-01
The result is 3.141577 , Execution time: 9.421906e-01
The result is 3.141577 , Execution time: 9.621782e-01
The result is 3.141577 , Execution time: 9.611475e-01
The result is 3.141577 , Execution time: 9.415758e-01
The result is 3.141577 , Execution time: 9.676869e-01
The result is 3.141577 , Execution time: 9.631619e-01
The result is 3.141577 , Execution time: 9.500895e-01
The result is 3.141577 , Execution time: 9.530392e-01
The result is 3.141577 , Execution time: 9.467742e-01
The result is 3.141577 , Execution time: 9.409819e-01
The result is 3.141577 , Execution time: 9.656096e-01
The result is 3.141577 , Execution time: 9.617200e-01
The result is 3.141577 , Execution time: 9.397345e-01
The result is 3.141577 , Execution time: 9.661381e-01
