
The result is 3.141601 , Execution time: 1.098390e-01
The result is 3.141601 , Execution time: 1.406908e-02
The result is 3.141601 , Execution time: 8.056164e-03
The result is 3.141601 , Execution time: 1.468437e-01
The result is 3.141601 , Execution time: 1.448255e-01
The result is 3.141601 , Execution time: 4.439998e-02
The result is 3.141601 , Execution time: 6.461143e-05
The result is 3.141601 , Execution time: 2.071118e-02
The result is 3.141601 , Execution time: 8.908081e-02
The result is 3.141601 , Execution time: 1.142383e-02
The result is 3.141601 , Execution time: 1.282930e-03
The result is 3.141601 , Execution time: 9.775162e-06
The result is 3.141601 , Execution time: 3.576279e-06
The result is 3.141601 , Execution time: 1.025200e-05
The result is 3.141601 , Execution time: 8.326817e-02
The result is 3.141601 , Execution time: 7.524967e-03
The result is 3.141601 , Execution time: 3.061056e-03
The result is 3.141601 , Execution time: 1.025200e-05
The result is 3.141601 , Execution time: 2.357960e-04
The result is 3.141601 , Execution time: 3.576279e-06
The result is 3.141601 , Execution time: 3.333712e-02
The result is 3.141601 , Execution time: 8.950186e-02
The result is 3.141601 , Execution time: 3.166175e-02
The result is 3.141601 , Execution time: 1.783080e-01
The result is 3.141601 , Execution time: 7.534075e-02
The result is 3.141601 , Execution time: 2.925158e-02
The result is 3.141601 , Execution time: 1.865423e-01
The result is 3.141601 , Execution time: 1.515865e-03
The result is 3.141601 , Execution time: 6.061816e-02
The result is 3.141601 , Execution time: 8.811617e-02
The result is 3.141601 , Execution time: 1.587088e-01
The result is 3.141601 , Execution time: 2.257156e-02
The result is 3.141601 , Execution time: 1.025200e-05
The result is 3.141601 , Execution time: 1.315260e-02
The result is 3.141601 , Execution time: 8.447862e-02
The result is 3.141601 , Execution time: 8.369064e-02
The result is 3.141601 , Execution time: 3.576279e-06
The result is 3.141601 , Execution time: 1.313186e-02
The result is 3.141601 , Execution time: 1.175885e-01
The result is 3.141601 , Execution time: 1.558027e-01
The result is 3.141601 , Execution time: 1.001358e-05
The result is 3.141601 , Execution time: 1.430562e-01
The result is 3.141601 , Execution time: 9.775162e-06
The result is 3.141601 , Execution time: 8.262730e-02
The result is 3.141601 , Execution time: 1.645718e-01
The result is 3.141601 , Execution time: 1.561377e-01
The result is 3.141601 , Execution time: 1.836455e-01
The result is 3.141601 , Execution time: 2.016873e-01
The result is 3.141601 , Execution time: 3.256416e-02
The result is 3.141601 , Execution time: 6.367922e-02
The result is 3.141601 , Execution time: 1.450992e-01
The result is 3.141601 , Execution time: 9.775162e-06
The result is 3.141601 , Execution time: 2.746170e-01
The result is 3.141601 , Execution time: 7.281661e-02
The result is 3.141601 , Execution time: 5.827212e-02
The result is 3.141601 , Execution time: 3.754711e-02
The result is 3.141601 , Execution time: 3.289032e-02
The result is 3.141601 , Execution time: 2.875018e-02
The result is 3.141601 , Execution time: 1.555672e-01
The result is 3.141601 , Execution time: 2.064705e-04
The result is 3.141601 , Execution time: 2.781153e-03
The result is 3.141601 , Execution time: 5.793571e-04
The result is 3.141601 , Execution time: 3.554654e-02
The result is 3.141601 , Execution time: 9.536743e-06
The result is 3.141601 , Execution time: 2.663136e-04
The result is 3.141601 , Execution time: 4.782701e-02
The result is 3.141601 , Execution time: 2.407408e-02
The result is 3.141601 , Execution time: 3.539872e-02
The result is 3.141601 , Execution time: 1.001358e-05
The result is 3.141601 , Execution time: 1.686463e-01
The result is 3.141601 , Execution time: 3.337860e-06
The result is 3.141601 , Execution time: 8.617377e-02
The result is 3.141601 , Execution time: 1.215935e-04
The result is 3.141601 , Execution time: 9.775162e-06
The result is 3.141601 , Execution time: 1.750836e-01
The result is 3.141601 , Execution time: 1.262140e-02
The result is 3.141601 , Execution time: 4.368782e-02
The result is 3.141601 , Execution time: 2.276802e-02
The result is 3.141601 , Execution time: 1.417828e-02
The result is 3.141601 , Execution time: 1.758997e-01
The result is 3.141601 , Execution time: 2.932310e-03
The result is 3.141601 , Execution time: 1.626015e-04
The result is 3.141601 , Execution time: 1.589162e-01
The result is 3.141601 , Execution time: 9.775162e-06
The result is 3.141601 , Execution time: 4.549074e-02
The result is 3.141601 , Execution time: 3.444529e-02
The result is 3.141601 , Execution time: 1.613770e-01
The result is 3.141601 , Execution time: 5.651712e-03
The result is 3.141601 , Execution time: 4.257488e-02
The result is 3.141601 , Execution time: 3.771520e-02
The result is 3.141601 , Execution time: 2.809954e-02
The result is 3.141601 , Execution time: 2.240896e-03
The result is 3.141601 , Execution time: 1.145840e-03
The result is 3.141601 , Execution time: 9.648061e-02
The result is 3.141601 , Execution time: 1.932251e-01
The result is 3.141601 , Execution time: 1.820426e-01
The result is 3.141601 , Execution time: 1.716614e-04
The result is 3.141601 , Execution time: 1.561160e-01
The result is 3.141601 , Execution time: 9.536743e-06
The result is 3.141601 , Execution time: 1.076820e-01
