
The result is 3.141601 , Execution time: 3.301626e+00
The result is 3.141601 , Execution time: 3.597595e+00
The result is 3.141601 , Execution time: 3.312773e+00
The result is 3.141601 , Execution time: 3.646026e+00
The result is 3.141601 , Execution time: 3.303895e+00
The result is 3.141601 , Execution time: 3.338828e+00
The result is 3.141601 , Execution time: 3.305470e+00
The result is 3.141601 , Execution time: 3.633669e+00
The result is 3.141601 , Execution time: 3.299760e+00
The result is 3.141601 , Execution time: 3.685906e+00
The result is 3.141601 , Execution time: 3.639049e+00
The result is 3.141601 , Execution time: 3.302519e+00
The result is 3.141601 , Execution time: 3.586672e+00
The result is 3.141601 , Execution time: 3.344086e+00
The result is 3.141601 , Execution time: 3.321122e+00
The result is 3.141601 , Execution time: 3.625100e+00
The result is 3.141601 , Execution time: 3.393014e+00
The result is 3.141601 , Execution time: 3.637408e+00
The result is 3.141601 , Execution time: 3.300866e+00
The result is 3.141601 , Execution time: 3.668127e+00
The result is 3.141601 , Execution time: 3.607031e+00
The result is 3.141601 , Execution time: 3.322291e+00
The result is 3.141601 , Execution time: 3.303573e+00
The result is 3.141601 , Execution time: 3.314612e+00
The result is 3.141601 , Execution time: 3.627258e+00
The result is 3.141601 , Execution time: 3.294287e+00
The result is 3.141601 , Execution time: 3.376190e+00
The result is 3.141601 , Execution time: 3.316096e+00
The result is 3.141601 , Execution time: 3.628291e+00
The result is 3.141601 , Execution time: 3.385695e+00
The result is 3.141601 , Execution time: 3.351915e+00
The result is 3.141601 , Execution time: 3.326816e+00
The result is 3.141601 , Execution time: 3.374372e+00
The result is 3.141601 , Execution time: 3.621097e+00
The result is 3.141601 , Execution time: 3.293724e+00
The result is 3.141601 , Execution time: 3.297012e+00
The result is 3.141601 , Execution time: 3.330613e+00
The result is 3.141601 , Execution time: 3.621513e+00
The result is 3.141601 , Execution time: 3.310046e+00
The result is 3.141601 , Execution time: 3.630866e+00
The result is 3.141601 , Execution time: 3.615307e+00
The result is 3.141601 , Execution time: 3.607255e+00
The result is 3.141601 , Execution time: 3.349639e+00
The result is 3.141601 , Execution time: 3.299560e+00
The result is 3.141601 , Execution time: 3.320140e+00
The result is 3.141601 , Execution time: 3.319380e+00
The result is 3.141601 , Execution time: 3.318110e+00
The result is 3.141601 , Execution time: 3.329089e+00
The result is 3.141601 , Execution time: 3.639178e+00
The result is 3.141601 , Execution time: 3.306039e+00
The result is 3.141601 , Execution time: 3.617585e+00
The result is 3.141601 , Execution time: 3.319389e+00
The result is 3.141601 , Execution time: 3.323430e+00
The result is 3.141601 , Execution time: 3.662550e+00
The result is 3.141601 , Execution time: 3.310969e+00
The result is 3.141601 , Execution time: 3.617851e+00
The result is 3.141601 , Execution time: 3.622716e+00
The result is 3.141601 , Execution time: 3.293343e+00
The result is 3.141601 , Execution time: 3.614811e+00
The result is 3.141601 , Execution time: 3.316463e+00
The result is 3.141601 , Execution time: 3.312962e+00
The result is 3.141601 , Execution time: 3.602407e+00
The result is 3.141601 , Execution time: 3.637961e+00
The result is 3.141601 , Execution time: 3.316121e+00
The result is 3.141601 , Execution time: 3.641771e+00
The result is 3.141601 , Execution time: 3.313741e+00
The result is 3.141601 , Execution time: 3.357380e+00
The result is 3.141601 , Execution time: 3.317710e+00
The result is 3.141601 , Execution time: 3.303022e+00
The result is 3.141601 , Execution time: 3.387279e+00
The result is 3.141601 , Execution time: 3.347850e+00
The result is 3.141601 , Execution time: 3.363728e+00
The result is 3.141601 , Execution time: 3.316000e+00
The result is 3.141601 , Execution time: 3.617376e+00
The result is 3.141601 , Execution time: 3.612633e+00
The result is 3.141601 , Execution time: 3.311901e+00
The result is 3.141601 , Execution time: 3.358276e+00
The result is 3.141601 , Execution time: 3.640307e+00
The result is 3.141601 , Execution time: 3.360157e+00
The result is 3.141601 , Execution time: 3.304703e+00
The result is 3.141601 , Execution time: 3.301207e+00
The result is 3.141601 , Execution time: 3.302595e+00
The result is 3.141601 , Execution time: 3.337801e+00
The result is 3.141601 , Execution time: 3.648622e+00
The result is 3.141601 , Execution time: 3.575355e+00
The result is 3.141601 , Execution time: 3.334401e+00
The result is 3.141601 , Execution time: 3.595638e+00
The result is 3.141601 , Execution time: 3.693598e+00
The result is 3.141601 , Execution time: 3.307865e+00
The result is 3.141601 , Execution time: 3.642556e+00
The result is 3.141601 , Execution time: 3.600592e+00
The result is 3.141601 , Execution time: 3.364155e+00
The result is 3.141601 , Execution time: 3.306416e+00
The result is 3.141601 , Execution time: 3.315545e+00
The result is 3.141601 , Execution time: 3.285455e+00
The result is 3.141601 , Execution time: 3.613216e+00
The result is 3.141601 , Execution time: 3.647156e+00
The result is 3.141601 , Execution time: 3.306351e+00
The result is 3.141601 , Execution time: 3.657584e+00
The result is 3.141601 , Execution time: 3.366612e+00
