
The result is 3.141614 , Execution time: 7.432699e-01
The result is 3.141614 , Execution time: 7.161090e-01
The result is 3.141614 , Execution time: 7.160406e-01
The result is 3.141614 , Execution time: 7.139492e-01
The result is 3.141614 , Execution time: 7.139165e-01
The result is 3.141614 , Execution time: 7.145905e-01
The result is 3.141614 , Execution time: 7.140603e-01
The result is 3.141614 , Execution time: 7.139390e-01
The result is 3.141614 , Execution time: 7.143996e-01
The result is 3.141614 , Execution time: 7.162051e-01
The result is 3.141614 , Execution time: 7.140682e-01
The result is 3.141614 , Execution time: 7.141016e-01
The result is 3.141614 , Execution time: 7.140911e-01
The result is 3.141614 , Execution time: 7.165849e-01
The result is 3.141614 , Execution time: 7.159061e-01
The result is 3.141614 , Execution time: 7.141445e-01
The result is 3.141614 , Execution time: 7.162375e-01
The result is 3.141614 , Execution time: 7.140749e-01
The result is 3.141614 , Execution time: 7.156463e-01
The result is 3.141614 , Execution time: 7.140243e-01
The result is 3.141614 , Execution time: 7.142401e-01
The result is 3.141614 , Execution time: 7.161841e-01
The result is 3.141614 , Execution time: 7.140584e-01
The result is 3.141614 , Execution time: 7.161736e-01
The result is 3.141614 , Execution time: 7.141793e-01
The result is 3.141614 , Execution time: 7.139878e-01
The result is 3.141614 , Execution time: 7.161338e-01
The result is 3.141614 , Execution time: 7.141271e-01
The result is 3.141614 , Execution time: 7.141836e-01
The result is 3.141614 , Execution time: 7.161782e-01
The result is 3.141614 , Execution time: 7.140191e-01
The result is 3.141614 , Execution time: 7.162633e-01
The result is 3.141614 , Execution time: 7.140462e-01
The result is 3.141614 , Execution time: 7.140145e-01
The result is 3.141614 , Execution time: 7.138336e-01
The result is 3.141614 , Execution time: 7.140253e-01
The result is 3.141614 , Execution time: 7.140269e-01
The result is 3.141614 , Execution time: 7.140150e-01
The result is 3.141614 , Execution time: 7.140675e-01
The result is 3.141614 , Execution time: 7.162426e-01
The result is 3.141614 , Execution time: 7.161107e-01
The result is 3.141614 , Execution time: 7.140279e-01
The result is 3.141614 , Execution time: 7.141044e-01
The result is 3.141614 , Execution time: 7.161982e-01
The result is 3.141614 , Execution time: 7.139945e-01
The result is 3.141614 , Execution time: 7.161314e-01
The result is 3.141614 , Execution time: 7.144036e-01
The result is 3.141614 , Execution time: 7.161906e-01
The result is 3.141614 , Execution time: 7.140644e-01
The result is 3.141614 , Execution time: 7.140598e-01
The result is 3.141614 , Execution time: 7.158635e-01
The result is 3.141614 , Execution time: 7.162879e-01
The result is 3.141614 , Execution time: 7.142000e-01
The result is 3.141614 , Execution time: 7.140503e-01
The result is 3.141614 , Execution time: 7.163777e-01
The result is 3.141614 , Execution time: 7.141216e-01
The result is 3.141614 , Execution time: 7.140393e-01
The result is 3.141614 , Execution time: 7.163041e-01
The result is 3.141614 , Execution time: 7.143679e-01
The result is 3.141614 , Execution time: 7.140994e-01
The result is 3.141614 , Execution time: 7.140541e-01
The result is 3.141614 , Execution time: 7.140589e-01
The result is 3.141614 , Execution time: 7.140431e-01
The result is 3.141614 , Execution time: 7.139583e-01
The result is 3.141614 , Execution time: 7.140775e-01
The result is 3.141614 , Execution time: 7.142687e-01
The result is 3.141614 , Execution time: 7.140236e-01
The result is 3.141614 , Execution time: 7.159963e-01
The result is 3.141614 , Execution time: 7.158837e-01
The result is 3.141614 , Execution time: 7.140098e-01
The result is 3.141614 , Execution time: 7.141201e-01
The result is 3.141614 , Execution time: 7.147379e-01
The result is 3.141614 , Execution time: 7.139823e-01
The result is 3.141614 , Execution time: 7.140048e-01
The result is 3.141614 , Execution time: 7.139578e-01
The result is 3.141614 , Execution time: 7.160320e-01
The result is 3.141614 , Execution time: 7.138853e-01
The result is 3.141614 , Execution time: 7.139945e-01
The result is 3.141614 , Execution time: 7.140131e-01
The result is 3.141614 , Execution time: 7.162907e-01
The result is 3.141614 , Execution time: 7.155871e-01
The result is 3.141614 , Execution time: 7.160931e-01
The result is 3.141614 , Execution time: 7.139461e-01
The result is 3.141614 , Execution time: 7.160463e-01
The result is 3.141614 , Execution time: 7.161303e-01
The result is 3.141614 , Execution time: 7.139277e-01
The result is 3.141614 , Execution time: 7.162282e-01
The result is 3.141614 , Execution time: 7.138779e-01
The result is 3.141614 , Execution time: 7.139013e-01
The result is 3.141614 , Execution time: 7.138762e-01
The result is 3.141614 , Execution time: 7.138617e-01
The result is 3.141614 , Execution time: 7.141035e-01
The result is 3.141614 , Execution time: 7.139564e-01
The result is 3.141614 , Execution time: 7.139406e-01
The result is 3.141614 , Execution time: 7.161369e-01
The result is 3.141614 , Execution time: 7.139120e-01
The result is 3.141614 , Execution time: 7.139304e-01
The result is 3.141614 , Execution time: 7.144370e-01
The result is 3.141614 , Execution time: 7.162073e-01
The result is 3.141614 , Execution time: 7.162445e-01
