
The result is 3.141601 , Execution time: 1.010895e-04
The result is 3.141601 , Execution time: 1.155043e-01
The result is 3.141601 , Execution time: 5.352950e-02
The result is 3.141601 , Execution time: 1.592591e-01
The result is 3.141601 , Execution time: 3.385544e-05
The result is 3.141601 , Execution time: 1.237869e-03
The result is 3.141601 , Execution time: 1.653748e-01
The result is 3.141601 , Execution time: 2.765656e-05
The result is 3.141601 , Execution time: 3.464222e-04
The result is 3.141601 , Execution time: 9.518695e-02
The result is 3.141601 , Execution time: 3.361702e-05
The result is 3.141601 , Execution time: 5.080700e-04
The result is 3.141601 , Execution time: 3.059912e-02
The result is 3.141601 , Execution time: 7.264614e-04
The result is 3.141601 , Execution time: 9.956813e-02
The result is 3.141601 , Execution time: 5.687237e-03
The result is 3.141601 , Execution time: 3.646564e-02
The result is 3.141601 , Execution time: 1.417422e-02
The result is 3.141601 , Execution time: 1.100302e-02
The result is 3.141601 , Execution time: 8.088827e-03
The result is 3.141601 , Execution time: 9.532928e-03
The result is 3.141601 , Execution time: 4.346371e-04
The result is 3.141601 , Execution time: 3.643036e-04
The result is 3.141601 , Execution time: 4.771256e-02
The result is 3.141601 , Execution time: 3.446031e-02
The result is 3.141601 , Execution time: 7.781935e-02
The result is 3.141601 , Execution time: 1.886525e-01
The result is 3.141601 , Execution time: 1.059542e-01
The result is 3.141601 , Execution time: 1.008987e-03
The result is 3.141601 , Execution time: 5.018711e-04
The result is 3.141601 , Execution time: 2.782154e-02
The result is 3.141601 , Execution time: 1.058483e-02
The result is 3.141601 , Execution time: 2.751923e-02
The result is 3.141601 , Execution time: 1.243601e-01
The result is 3.141601 , Execution time: 3.459930e-03
The result is 3.141601 , Execution time: 1.452281e-01
The result is 3.141601 , Execution time: 1.417294e-01
The result is 3.141601 , Execution time: 7.889509e-03
The result is 3.141601 , Execution time: 5.316877e-02
The result is 3.141601 , Execution time: 4.913116e-02
The result is 3.141601 , Execution time: 6.539202e-02
The result is 3.141601 , Execution time: 9.257555e-03
The result is 3.141601 , Execution time: 1.637526e-01
The result is 3.141601 , Execution time: 2.081010e-01
The result is 3.141601 , Execution time: 6.096411e-02
The result is 3.141601 , Execution time: 1.499577e-01
The result is 3.141601 , Execution time: 5.293226e-02
The result is 3.141601 , Execution time: 1.955032e-05
The result is 3.141601 , Execution time: 1.702561e-01
The result is 3.141601 , Execution time: 9.465218e-04
The result is 3.141601 , Execution time: 7.677078e-05
The result is 3.141601 , Execution time: 1.669512e-01
The result is 3.141601 , Execution time: 4.498243e-03
The result is 3.141601 , Execution time: 4.012871e-02
The result is 3.141601 , Execution time: 3.147817e-02
The result is 3.141601 , Execution time: 2.773404e-02
The result is 3.141601 , Execution time: 3.433228e-05
The result is 3.141601 , Execution time: 6.346703e-04
The result is 3.141601 , Execution time: 7.796288e-05
The result is 3.141601 , Execution time: 1.155853e-03
The result is 3.141601 , Execution time: 8.616447e-04
The result is 3.141601 , Execution time: 1.634846e-01
The result is 3.141601 , Execution time: 3.314018e-05
The result is 3.141601 , Execution time: 1.665573e-01
The result is 3.141601 , Execution time: 1.473281e-01
The result is 3.141601 , Execution time: 1.009536e-01
The result is 3.141601 , Execution time: 6.420779e-02
The result is 3.141601 , Execution time: 4.086494e-04
The result is 3.141601 , Execution time: 3.480911e-05
The result is 3.141601 , Execution time: 1.322713e-01
The result is 3.141601 , Execution time: 1.507857e-01
The result is 3.141601 , Execution time: 2.920413e-02
The result is 3.141601 , Execution time: 6.251335e-04
The result is 3.141601 , Execution time: 1.661317e-01
The result is 3.141601 , Execution time: 3.504753e-05
The result is 3.141601 , Execution time: 3.457069e-05
The result is 3.141601 , Execution time: 4.220748e-02
The result is 3.141601 , Execution time: 1.609843e-01
The result is 3.141601 , Execution time: 6.340837e-02
The result is 3.141601 , Execution time: 3.609657e-04
The result is 3.141601 , Execution time: 7.854247e-02
The result is 3.141601 , Execution time: 4.169941e-04
The result is 3.141601 , Execution time: 3.283024e-04
The result is 3.141601 , Execution time: 8.482933e-03
The result is 3.141601 , Execution time: 9.461880e-03
The result is 3.141601 , Execution time: 1.864567e-01
The result is 3.141601 , Execution time: 9.890842e-02
The result is 3.141601 , Execution time: 2.479553e-05
The result is 3.141601 , Execution time: 2.526808e-02
The result is 3.141601 , Execution time: 7.982731e-02
The result is 3.141601 , Execution time: 1.558204e-01
The result is 3.141601 , Execution time: 3.795075e-02
The result is 3.141601 , Execution time: 1.859665e-05
The result is 3.141601 , Execution time: 8.245516e-02
The result is 3.141601 , Execution time: 3.101826e-04
The result is 3.141601 , Execution time: 1.476903e-01
The result is 3.141601 , Execution time: 1.574540e-02
The result is 3.141601 , Execution time: 1.940536e-01
The result is 3.141601 , Execution time: 1.014402e-01
The result is 3.141601 , Execution time: 6.351471e-04
