
The result is 3.141577 , Execution time: 9.543428e-01
The result is 3.141577 , Execution time: 9.548962e-01
The result is 3.141577 , Execution time: 9.778895e-01
The result is 3.141577 , Execution time: 9.545431e-01
The result is 3.141577 , Execution time: 9.593503e-01
The result is 3.141577 , Execution time: 9.667203e-01
The result is 3.141577 , Execution time: 9.542115e-01
The result is 3.141577 , Execution time: 9.788730e-01
The result is 3.141577 , Execution time: 9.579351e-01
The result is 3.141577 , Execution time: 9.763880e-01
The result is 3.141577 , Execution time: 9.549956e-01
The result is 3.141577 , Execution time: 9.800501e-01
The result is 3.141577 , Execution time: 9.666572e-01
The result is 3.141577 , Execution time: 9.551601e-01
The result is 3.141577 , Execution time: 9.588802e-01
The result is 3.141577 , Execution time: 9.541836e-01
The result is 3.141577 , Execution time: 9.550827e-01
The result is 3.141577 , Execution time: 9.551134e-01
The result is 3.141577 , Execution time: 9.699337e-01
The result is 3.141577 , Execution time: 9.605877e-01
The result is 3.141577 , Execution time: 9.542224e-01
The result is 3.141577 , Execution time: 9.554703e-01
The result is 3.141577 , Execution time: 9.616802e-01
The result is 3.141577 , Execution time: 9.581058e-01
The result is 3.141577 , Execution time: 9.690201e-01
The result is 3.141577 , Execution time: 9.691012e-01
The result is 3.141577 , Execution time: 9.825444e-01
The result is 3.141577 , Execution time: 9.561689e-01
The result is 3.141577 , Execution time: 9.716456e-01
The result is 3.141577 , Execution time: 9.598169e-01
The result is 3.141577 , Execution time: 9.545186e-01
The result is 3.141577 , Execution time: 9.583726e-01
The result is 3.141577 , Execution time: 9.586639e-01
The result is 3.141577 , Execution time: 9.545662e-01
The result is 3.141577 , Execution time: 9.546845e-01
The result is 3.141577 , Execution time: 9.645586e-01
The result is 3.141577 , Execution time: 9.739115e-01
The result is 3.141577 , Execution time: 9.545667e-01
The result is 3.141577 , Execution time: 9.558029e-01
The result is 3.141577 , Execution time: 9.556928e-01
The result is 3.141577 , Execution time: 9.559710e-01
The result is 3.141577 , Execution time: 9.543583e-01
The result is 3.141577 , Execution time: 9.553473e-01
The result is 3.141577 , Execution time: 9.628010e-01
The result is 3.141577 , Execution time: 9.882309e-01
The result is 3.141577 , Execution time: 9.791589e-01
The result is 3.141577 , Execution time: 9.559336e-01
The result is 3.141577 , Execution time: 9.563060e-01
The result is 3.141577 , Execution time: 9.550269e-01
The result is 3.141577 , Execution time: 9.589448e-01
The result is 3.141577 , Execution time: 9.628060e-01
The result is 3.141577 , Execution time: 9.653697e-01
The result is 3.141577 , Execution time: 9.550862e-01
The result is 3.141577 , Execution time: 9.564757e-01
The result is 3.141577 , Execution time: 9.614534e-01
The result is 3.141577 , Execution time: 9.564941e-01
The result is 3.141577 , Execution time: 9.559286e-01
The result is 3.141577 , Execution time: 9.550004e-01
The result is 3.141577 , Execution time: 9.885614e-01
The result is 3.141577 , Execution time: 9.555323e-01
The result is 3.141577 , Execution time: 9.586456e-01
The result is 3.141577 , Execution time: 9.828613e-01
The result is 3.141577 , Execution time: 9.558706e-01
The result is 3.141577 , Execution time: 9.558458e-01
The result is 3.141577 , Execution time: 9.595556e-01
The result is 3.141577 , Execution time: 9.563963e-01
The result is 3.141577 , Execution time: 9.836171e-01
The result is 3.141577 , Execution time: 9.605775e-01
The result is 3.141577 , Execution time: 9.554057e-01
The result is 3.141577 , Execution time: 9.562573e-01
The result is 3.141577 , Execution time: 9.822555e-01
The result is 3.141577 , Execution time: 9.590011e-01
The result is 3.141577 , Execution time: 9.552338e-01
The result is 3.141577 , Execution time: 9.560943e-01
The result is 3.141577 , Execution time: 9.554629e-01
The result is 3.141577 , Execution time: 9.567919e-01
The result is 3.141577 , Execution time: 9.610925e-01
The result is 3.141577 , Execution time: 9.705439e-01
The result is 3.141577 , Execution time: 9.555156e-01
The result is 3.141577 , Execution time: 9.681268e-01
The result is 3.141577 , Execution time: 9.694374e-01
The result is 3.141577 , Execution time: 9.638424e-01
The result is 3.141577 , Execution time: 9.649749e-01
The result is 3.141577 , Execution time: 9.555342e-01
The result is 3.141577 , Execution time: 9.554548e-01
The result is 3.141577 , Execution time: 9.582562e-01
The result is 3.141577 , Execution time: 9.687319e-01
The result is 3.141577 , Execution time: 9.543040e-01
The result is 3.141577 , Execution time: 9.748607e-01
The result is 3.141577 , Execution time: 9.560685e-01
The result is 3.141577 , Execution time: 9.555941e-01
The result is 3.141577 , Execution time: 9.562478e-01
The result is 3.141577 , Execution time: 9.604480e-01
The result is 3.141577 , Execution time: 9.560597e-01
The result is 3.141577 , Execution time: 9.870038e-01
The result is 3.141577 , Execution time: 9.690526e-01
The result is 3.141577 , Execution time: 9.552414e-01
The result is 3.141577 , Execution time: 9.566505e-01
The result is 3.141577 , Execution time: 9.563365e-01
The result is 3.141577 , Execution time: 9.552364e-01
