
The result is 3.141601 , Execution time: 1.673663e-01
The result is 3.141601 , Execution time: 2.613711e-02
The result is 3.141601 , Execution time: 4.978657e-03
The result is 3.141601 , Execution time: 8.461642e-02
The result is 3.141601 , Execution time: 1.359732e-01
The result is 3.141601 , Execution time: 5.072117e-03
The result is 3.141601 , Execution time: 2.590156e-02
The result is 3.141601 , Execution time: 9.878445e-02
The result is 3.141601 , Execution time: 3.518581e-03
The result is 3.141601 , Execution time: 1.677506e-01
The result is 3.141601 , Execution time: 6.636143e-03
The result is 3.141601 , Execution time: 1.645088e-05
The result is 3.141601 , Execution time: 2.430201e-02
The result is 3.141601 , Execution time: 1.502135e-01
The result is 3.141601 , Execution time: 5.967021e-02
The result is 3.141601 , Execution time: 6.621814e-02
The result is 3.141601 , Execution time: 8.321285e-02
The result is 3.141601 , Execution time: 1.793559e-01
The result is 3.141601 , Execution time: 3.852105e-02
The result is 3.141601 , Execution time: 3.054380e-03
The result is 3.141601 , Execution time: 1.422508e-01
The result is 3.141601 , Execution time: 8.814812e-03
The result is 3.141601 , Execution time: 1.655681e-01
The result is 3.141601 , Execution time: 4.434180e-02
The result is 3.141601 , Execution time: 4.165888e-03
The result is 3.141601 , Execution time: 2.717972e-05
The result is 3.141601 , Execution time: 2.450714e-01
The result is 3.141601 , Execution time: 2.202725e-02
The result is 3.141601 , Execution time: 2.574921e-05
The result is 3.141601 , Execution time: 1.656365e-01
The result is 3.141601 , Execution time: 1.351538e-01
The result is 3.141601 , Execution time: 2.970076e-02
The result is 3.141601 , Execution time: 8.249640e-02
The result is 3.141601 , Execution time: 1.649141e-03
The result is 3.141601 , Execution time: 1.019933e-01
The result is 3.141601 , Execution time: 1.394629e-01
The result is 3.141601 , Execution time: 3.642559e-03
The result is 3.141601 , Execution time: 1.462355e-01
The result is 3.141601 , Execution time: 1.923151e-01
The result is 3.141601 , Execution time: 5.173349e-02
The result is 3.141601 , Execution time: 1.788139e-05
The result is 3.141601 , Execution time: 1.541471e-01
The result is 3.141601 , Execution time: 1.927533e-01
The result is 3.141601 , Execution time: 3.709674e-02
The result is 3.141601 , Execution time: 3.778934e-04
The result is 3.141601 , Execution time: 7.735491e-02
The result is 3.141601 , Execution time: 1.651387e-01
The result is 3.141601 , Execution time: 8.843851e-02
The result is 3.141601 , Execution time: 8.031416e-02
The result is 3.141601 , Execution time: 1.252961e-01
The result is 3.141601 , Execution time: 1.432300e-02
The result is 3.141601 , Execution time: 1.277776e-01
The result is 3.141601 , Execution time: 1.120653e-01
The result is 3.141601 , Execution time: 3.304434e-02
The result is 3.141601 , Execution time: 4.109859e-03
The result is 3.141601 , Execution time: 1.614060e-01
The result is 3.141601 , Execution time: 3.257990e-03
The result is 3.141601 , Execution time: 7.541609e-02
The result is 3.141601 , Execution time: 9.901714e-02
The result is 3.141601 , Execution time: 1.002765e-02
The result is 3.141601 , Execution time: 1.618772e-01
The result is 3.141601 , Execution time: 1.023886e-01
The result is 3.141601 , Execution time: 1.651568e-01
The result is 3.141601 , Execution time: 2.335310e-03
The result is 3.141601 , Execution time: 1.016767e-01
The result is 3.141601 , Execution time: 8.642673e-04
The result is 3.141601 , Execution time: 6.951714e-02
The result is 3.141601 , Execution time: 1.627111e-01
The result is 3.141601 , Execution time: 4.608631e-04
The result is 3.141601 , Execution time: 4.760933e-02
The result is 3.141601 , Execution time: 1.553087e-01
The result is 3.141601 , Execution time: 5.412102e-03
The result is 3.141601 , Execution time: 3.256083e-03
The result is 3.141601 , Execution time: 1.740723e-01
The result is 3.141601 , Execution time: 1.154089e-02
The result is 3.141601 , Execution time: 3.007412e-03
The result is 3.141601 , Execution time: 1.404905e-02
The result is 3.141601 , Execution time: 1.456792e-01
The result is 3.141601 , Execution time: 1.753151e-01
The result is 3.141601 , Execution time: 2.847314e-02
The result is 3.141601 , Execution time: 1.713870e-01
The result is 3.141601 , Execution time: 2.186537e-03
The result is 3.141601 , Execution time: 1.937666e-01
The result is 3.141601 , Execution time: 1.227498e-02
The result is 3.141601 , Execution time: 8.338594e-02
The result is 3.141601 , Execution time: 9.478951e-02
The result is 3.141601 , Execution time: 3.687000e-02
The result is 3.141601 , Execution time: 1.300120e-02
The result is 3.141601 , Execution time: 3.056161e-01
The result is 3.141601 , Execution time: 7.296658e-02
The result is 3.141601 , Execution time: 2.885079e-02
The result is 3.141601 , Execution time: 1.857448e-02
The result is 3.141601 , Execution time: 1.187186e-01
The result is 3.141601 , Execution time: 2.123022e-02
The result is 3.141601 , Execution time: 1.761386e-01
The result is 3.141601 , Execution time: 1.044798e-02
The result is 3.141601 , Execution time: 1.831627e-02
The result is 3.141601 , Execution time: 1.717806e-03
The result is 3.141601 , Execution time: 1.960232e-01
The result is 3.141601 , Execution time: 3.781867e-02
