
The result is 3.141577 , Execution time: 9.582131e-01
The result is 3.141577 , Execution time: 9.777675e-01
The result is 3.141577 , Execution time: 9.568384e-01
The result is 3.141577 , Execution time: 9.595668e-01
The result is 3.141577 , Execution time: 9.816732e-01
The result is 3.141577 , Execution time: 9.586666e-01
The result is 3.141577 , Execution time: 9.606490e-01
The result is 3.141577 , Execution time: 9.633996e-01
The result is 3.141577 , Execution time: 9.808369e-01
The result is 3.141577 , Execution time: 9.603863e-01
The result is 3.141577 , Execution time: 9.777756e-01
The result is 3.141577 , Execution time: 9.871755e-01
The result is 3.141577 , Execution time: 9.699779e-01
The result is 3.141577 , Execution time: 9.578257e-01
The result is 3.141577 , Execution time: 9.672544e-01
The result is 3.141577 , Execution time: 9.583569e-01
The result is 3.141577 , Execution time: 9.579802e-01
The result is 3.141577 , Execution time: 9.591048e-01
The result is 3.141577 , Execution time: 9.587815e-01
The result is 3.141577 , Execution time: 9.681480e-01
The result is 3.141577 , Execution time: 9.596860e-01
The result is 3.141577 , Execution time: 9.576216e-01
The result is 3.141577 , Execution time: 9.637382e-01
The result is 3.141577 , Execution time: 9.767942e-01
The result is 3.141577 , Execution time: 9.739280e-01
The result is 3.141577 , Execution time: 9.581811e-01
The result is 3.141577 , Execution time: 9.592116e-01
The result is 3.141577 , Execution time: 9.686430e-01
The result is 3.141577 , Execution time: 9.607193e-01
The result is 3.141577 , Execution time: 9.587116e-01
The result is 3.141577 , Execution time: 9.662449e-01
The result is 3.141577 , Execution time: 9.670262e-01
The result is 3.141577 , Execution time: 9.591346e-01
The result is 3.141577 , Execution time: 9.792521e-01
The result is 3.141577 , Execution time: 9.627452e-01
The result is 3.141577 , Execution time: 9.595551e-01
The result is 3.141577 , Execution time: 9.594836e-01
The result is 3.141577 , Execution time: 9.594488e-01
The result is 3.141577 , Execution time: 9.605391e-01
The result is 3.141577 , Execution time: 9.588029e-01
The result is 3.141577 , Execution time: 9.600999e-01
The result is 3.141577 , Execution time: 9.578907e-01
The result is 3.141577 , Execution time: 9.590058e-01
The result is 3.141577 , Execution time: 9.589953e-01
The result is 3.141577 , Execution time: 9.579451e-01
The result is 3.141577 , Execution time: 9.581935e-01
The result is 3.141577 , Execution time: 9.580140e-01
The result is 3.141577 , Execution time: 9.584603e-01
The result is 3.141577 , Execution time: 9.589324e-01
The result is 3.141577 , Execution time: 9.590089e-01
The result is 3.141577 , Execution time: 9.779713e-01
The result is 3.141577 , Execution time: 9.588642e-01
The result is 3.141577 , Execution time: 9.659107e-01
The result is 3.141577 , Execution time: 9.607637e-01
The result is 3.141577 , Execution time: 9.584191e-01
The result is 3.141577 , Execution time: 9.597728e-01
The result is 3.141577 , Execution time: 9.591818e-01
The result is 3.141577 , Execution time: 9.625361e-01
The result is 3.141577 , Execution time: 9.792137e-01
The result is 3.141577 , Execution time: 9.585907e-01
The result is 3.141577 , Execution time: 9.576650e-01
The result is 3.141577 , Execution time: 9.877622e-01
The result is 3.141577 , Execution time: 9.613116e-01
The result is 3.141577 , Execution time: 9.582000e-01
The result is 3.141577 , Execution time: 9.584141e-01
The result is 3.141577 , Execution time: 9.649823e-01
The result is 3.141577 , Execution time: 9.673655e-01
The result is 3.141577 , Execution time: 9.574769e-01
The result is 3.141577 , Execution time: 9.586399e-01
The result is 3.141577 , Execution time: 9.580631e-01
The result is 3.141577 , Execution time: 9.686933e-01
The result is 3.141577 , Execution time: 9.562376e-01
The result is 3.141577 , Execution time: 9.725564e-01
The result is 3.141577 , Execution time: 9.666936e-01
The result is 3.141577 , Execution time: 9.585512e-01
The result is 3.141577 , Execution time: 9.838195e-01
The result is 3.141577 , Execution time: 9.590774e-01
The result is 3.141577 , Execution time: 9.615536e-01
The result is 3.141577 , Execution time: 9.586968e-01
The result is 3.141577 , Execution time: 9.639618e-01
The result is 3.141577 , Execution time: 9.595008e-01
The result is 3.141577 , Execution time: 9.593561e-01
The result is 3.141577 , Execution time: 9.581511e-01
The result is 3.141577 , Execution time: 9.868209e-01
The result is 3.141577 , Execution time: 9.637649e-01
The result is 3.141577 , Execution time: 9.583066e-01
The result is 3.141577 , Execution time: 9.728458e-01
The result is 3.141577 , Execution time: 9.644744e-01
The result is 3.141577 , Execution time: 9.577255e-01
The result is 3.141577 , Execution time: 9.786754e-01
The result is 3.141577 , Execution time: 9.586270e-01
The result is 3.141577 , Execution time: 9.574957e-01
The result is 3.141577 , Execution time: 9.640067e-01
The result is 3.141577 , Execution time: 9.580357e-01
The result is 3.141577 , Execution time: 9.580617e-01
The result is 3.141577 , Execution time: 9.586449e-01
The result is 3.141577 , Execution time: 9.680359e-01
The result is 3.141577 , Execution time: 9.579496e-01
The result is 3.141577 , Execution time: 9.726081e-01
The result is 3.141577 , Execution time: 9.743512e-01
