
The result is 3.141581 , Execution time: 3.342540e-01
The result is 3.141581 , Execution time: 4.704952e-02
The result is 3.141581 , Execution time: 2.607627e-01
The result is 3.141581 , Execution time: 3.867459e-02
The result is 3.141581 , Execution time: 2.090206e-01
The result is 3.141581 , Execution time: 4.624581e-02
The result is 3.141581 , Execution time: 2.407320e-01
The result is 3.141581 , Execution time: 1.463335e-01
The result is 3.141581 , Execution time: 3.154278e-02
The result is 3.141581 , Execution time: 3.902674e-02
The result is 3.141581 , Execution time: 1.917102e-01
The result is 3.141581 , Execution time: 1.887553e-01
The result is 3.141581 , Execution time: 3.033447e-02
The result is 3.141581 , Execution time: 2.760882e-01
The result is 3.141581 , Execution time: 4.114127e-02
The result is 3.141581 , Execution time: 1.900179e-01
The result is 3.141581 , Execution time: 3.402543e-02
The result is 3.141581 , Execution time: 7.629395e-06
The result is 3.141581 , Execution time: 6.965303e-02
The result is 3.141581 , Execution time: 2.486253e-02
The result is 3.141581 , Execution time: 3.025389e-02
The result is 3.141581 , Execution time: 1.596143e-01
The result is 3.141581 , Execution time: 2.542472e-02
The result is 3.141581 , Execution time: 1.742804e-01
The result is 3.141581 , Execution time: 2.716153e-01
The result is 3.141581 , Execution time: 2.163219e-02
The result is 3.141581 , Execution time: 2.386773e-01
The result is 3.141581 , Execution time: 2.499290e-01
The result is 3.141581 , Execution time: 8.369446e-03
The result is 3.141581 , Execution time: 3.455448e-01
The result is 3.141581 , Execution time: 2.555609e-03
The result is 3.141581 , Execution time: 3.112285e-01
The result is 3.141581 , Execution time: 3.941703e-02
The result is 3.141581 , Execution time: 2.741494e-01
The result is 3.141581 , Execution time: 3.563526e-01
The result is 3.141581 , Execution time: 4.301333e-02
The result is 3.141581 , Execution time: 5.856299e-02
The result is 3.141581 , Execution time: 2.510312e-01
The result is 3.141581 , Execution time: 2.540329e-01
The result is 3.141581 , Execution time: 6.305099e-02
The result is 3.141581 , Execution time: 1.551580e-02
The result is 3.141581 , Execution time: 8.138418e-03
The result is 3.141581 , Execution time: 2.504935e-01
The result is 3.141581 , Execution time: 2.917647e-02
The result is 3.141581 , Execution time: 2.607267e-01
The result is 3.141581 , Execution time: 2.514601e-02
The result is 3.141581 , Execution time: 1.127172e-02
The result is 3.141581 , Execution time: 3.628969e-02
The result is 3.141581 , Execution time: 3.164525e-01
The result is 3.141581 , Execution time: 2.581375e-01
The result is 3.141581 , Execution time: 2.307177e-02
The result is 3.141581 , Execution time: 2.134180e-02
The result is 3.141581 , Execution time: 1.585829e-01
The result is 3.141581 , Execution time: 3.906322e-02
The result is 3.141581 , Execution time: 1.510763e-02
The result is 3.141581 , Execution time: 5.919719e-02
The result is 3.141581 , Execution time: 3.342676e-02
The result is 3.141581 , Execution time: 2.165771e-02
The result is 3.141581 , Execution time: 3.194427e-02
The result is 3.141581 , Execution time: 2.413836e-01
The result is 3.141581 , Execution time: 2.209425e-03
The result is 3.141581 , Execution time: 3.377461e-02
The result is 3.141581 , Execution time: 3.454993e-01
The result is 3.141581 , Execution time: 1.186395e-01
The result is 3.141581 , Execution time: 3.389883e-02
The result is 3.141581 , Execution time: 3.814697e-06
The result is 3.141581 , Execution time: 1.795180e-01
The result is 3.141581 , Execution time: 1.378036e-02
The result is 3.141581 , Execution time: 3.423564e-01
The result is 3.141581 , Execution time: 1.186991e-01
The result is 3.141581 , Execution time: 2.506948e-02
The result is 3.141581 , Execution time: 8.635092e-02
The result is 3.141581 , Execution time: 2.986808e-01
The result is 3.141581 , Execution time: 1.560450e-03
The result is 3.141581 , Execution time: 6.455874e-02
The result is 3.141581 , Execution time: 4.402113e-02
The result is 3.141581 , Execution time: 4.550290e-02
The result is 3.141581 , Execution time: 3.061390e-02
The result is 3.141581 , Execution time: 4.675865e-03
The result is 3.141581 , Execution time: 1.552892e-02
The result is 3.141581 , Execution time: 7.884264e-03
The result is 3.141581 , Execution time: 2.393293e-01
The result is 3.141581 , Execution time: 3.487959e-01
The result is 3.141581 , Execution time: 3.130443e-01
The result is 3.141581 , Execution time: 3.379416e-02
The result is 3.141581 , Execution time: 1.807423e-01
The result is 3.141581 , Execution time: 3.311024e-01
The result is 3.141581 , Execution time: 1.661019e-01
The result is 3.141581 , Execution time: 1.336291e-01
The result is 3.141581 , Execution time: 3.886633e-01
The result is 3.141581 , Execution time: 9.650254e-02
The result is 3.141581 , Execution time: 1.805856e-01
The result is 3.141581 , Execution time: 4.486537e-02
The result is 3.141581 , Execution time: 1.035929e-03
The result is 3.141581 , Execution time: 2.009809e-01
The result is 3.141581 , Execution time: 2.044830e-01
The result is 3.141581 , Execution time: 2.891951e-01
The result is 3.141581 , Execution time: 3.353643e-02
The result is 3.141581 , Execution time: 2.214997e-01
The result is 3.141581 , Execution time: 5.378628e-02
