
The result is 3.141601 , Execution time: 3.341623e+00
The result is 3.141601 , Execution time: 3.336334e+00
The result is 3.141601 , Execution time: 3.608404e+00
The result is 3.141601 , Execution time: 3.332187e+00
The result is 3.141601 , Execution time: 3.632782e+00
The result is 3.141601 , Execution time: 3.346451e+00
The result is 3.141601 , Execution time: 3.379772e+00
The result is 3.141601 , Execution time: 3.318195e+00
The result is 3.141601 , Execution time: 3.322806e+00
The result is 3.141601 , Execution time: 3.327170e+00
The result is 3.141601 , Execution time: 3.631554e+00
The result is 3.141601 , Execution time: 3.314706e+00
The result is 3.141601 , Execution time: 3.634436e+00
The result is 3.141601 , Execution time: 3.316644e+00
The result is 3.141601 , Execution time: 3.620809e+00
The result is 3.141601 , Execution time: 3.326856e+00
The result is 3.141601 , Execution time: 3.635421e+00
The result is 3.141601 , Execution time: 3.324109e+00
The result is 3.141601 , Execution time: 3.311395e+00
The result is 3.141601 , Execution time: 3.631429e+00
The result is 3.141601 , Execution time: 3.349073e+00
The result is 3.141601 , Execution time: 3.304990e+00
The result is 3.141601 , Execution time: 3.702168e+00
The result is 3.141601 , Execution time: 3.366196e+00
The result is 3.141601 , Execution time: 3.360555e+00
The result is 3.141601 , Execution time: 3.612617e+00
The result is 3.141601 , Execution time: 3.309041e+00
The result is 3.141601 , Execution time: 3.318122e+00
The result is 3.141601 , Execution time: 3.618087e+00
The result is 3.141601 , Execution time: 3.608707e+00
The result is 3.141601 , Execution time: 3.388757e+00
The result is 3.141601 , Execution time: 3.645182e+00
The result is 3.141601 , Execution time: 3.656562e+00
The result is 3.141601 , Execution time: 3.312069e+00
The result is 3.141601 , Execution time: 3.646008e+00
The result is 3.141601 , Execution time: 3.338957e+00
The result is 3.141601 , Execution time: 3.634636e+00
The result is 3.141601 , Execution time: 3.322197e+00
The result is 3.141601 , Execution time: 3.662181e+00
The result is 3.141601 , Execution time: 3.641118e+00
The result is 3.141601 , Execution time: 3.344797e+00
The result is 3.141601 , Execution time: 3.647035e+00
The result is 3.141601 , Execution time: 3.637549e+00
The result is 3.141601 , Execution time: 3.520479e+00
The result is 3.141601 , Execution time: 3.314326e+00
The result is 3.141601 , Execution time: 3.350686e+00
The result is 3.141601 , Execution time: 3.321220e+00
The result is 3.141601 , Execution time: 3.344738e+00
The result is 3.141601 , Execution time: 3.306404e+00
The result is 3.141601 , Execution time: 3.560777e+00
The result is 3.141601 , Execution time: 3.315313e+00
The result is 3.141601 , Execution time: 3.324857e+00
The result is 3.141601 , Execution time: 3.323022e+00
The result is 3.141601 , Execution time: 3.387337e+00
The result is 3.141601 , Execution time: 3.327041e+00
The result is 3.141601 , Execution time: 3.438586e+00
The result is 3.141601 , Execution time: 3.315617e+00
The result is 3.141601 , Execution time: 3.632583e+00
The result is 3.141601 , Execution time: 3.343145e+00
The result is 3.141601 , Execution time: 3.605434e+00
The result is 3.141601 , Execution time: 3.631191e+00
The result is 3.141601 , Execution time: 3.359543e+00
The result is 3.141601 , Execution time: 3.595560e+00
The result is 3.141601 , Execution time: 3.315478e+00
The result is 3.141601 , Execution time: 3.300043e+00
The result is 3.141601 , Execution time: 3.330868e+00
The result is 3.141601 , Execution time: 3.326425e+00
The result is 3.141601 , Execution time: 3.312228e+00
The result is 3.141601 , Execution time: 3.572066e+00
The result is 3.141601 , Execution time: 3.541848e+00
The result is 3.141601 , Execution time: 3.334971e+00
The result is 3.141601 , Execution time: 3.304450e+00
The result is 3.141601 , Execution time: 3.328237e+00
The result is 3.141601 , Execution time: 3.329576e+00
The result is 3.141601 , Execution time: 3.325549e+00
The result is 3.141601 , Execution time: 3.614644e+00
The result is 3.141601 , Execution time: 3.619219e+00
The result is 3.141601 , Execution time: 3.352486e+00
The result is 3.141601 , Execution time: 3.640496e+00
The result is 3.141601 , Execution time: 3.362123e+00
The result is 3.141601 , Execution time: 3.333322e+00
The result is 3.141601 , Execution time: 3.335657e+00
The result is 3.141601 , Execution time: 3.618523e+00
The result is 3.141601 , Execution time: 3.335248e+00
The result is 3.141601 , Execution time: 3.656734e+00
The result is 3.141601 , Execution time: 3.345569e+00
The result is 3.141601 , Execution time: 3.558338e+00
The result is 3.141601 , Execution time: 3.314735e+00
The result is 3.141601 , Execution time: 3.581348e+00
The result is 3.141601 , Execution time: 3.637351e+00
The result is 3.141601 , Execution time: 3.644331e+00
The result is 3.141601 , Execution time: 3.331591e+00
The result is 3.141601 , Execution time: 3.614843e+00
The result is 3.141601 , Execution time: 3.335489e+00
The result is 3.141601 , Execution time: 3.324331e+00
The result is 3.141601 , Execution time: 3.335608e+00
The result is 3.141601 , Execution time: 3.623783e+00
The result is 3.141601 , Execution time: 3.615613e+00
The result is 3.141601 , Execution time: 3.666920e+00
The result is 3.141601 , Execution time: 3.346621e+00
