
The result is 3.141581 , Execution time: 3.418450e-01
The result is 3.141581 , Execution time: 4.316306e-02
The result is 3.141581 , Execution time: 1.771545e-02
The result is 3.141581 , Execution time: 3.699279e-01
The result is 3.141581 , Execution time: 2.633319e-01
The result is 3.141581 , Execution time: 4.707122e-02
The result is 3.141581 , Execution time: 3.491235e-01
The result is 3.141581 , Execution time: 1.447239e-01
The result is 3.141581 , Execution time: 7.410645e-02
The result is 3.141581 , Execution time: 2.793043e-01
The result is 3.141581 , Execution time: 2.681348e-01
The result is 3.141581 , Execution time: 2.628727e-01
The result is 3.141581 , Execution time: 3.105097e-01
The result is 3.141581 , Execution time: 6.959200e-03
The result is 3.141581 , Execution time: 2.528996e-01
The result is 3.141581 , Execution time: 2.584834e-01
The result is 3.141581 , Execution time: 1.851094e-01
The result is 3.141581 , Execution time: 2.711272e-02
The result is 3.141581 , Execution time: 3.344357e-01
The result is 3.141581 , Execution time: 6.175327e-02
The result is 3.141581 , Execution time: 1.989460e-01
The result is 3.141581 , Execution time: 3.419065e-02
The result is 3.141581 , Execution time: 2.904296e-02
The result is 3.141581 , Execution time: 4.155540e-02
The result is 3.141581 , Execution time: 3.147109e-01
The result is 3.141581 , Execution time: 5.888343e-02
The result is 3.141581 , Execution time: 2.615111e-01
The result is 3.141581 , Execution time: 3.168380e-01
The result is 3.141581 , Execution time: 2.578917e-01
The result is 3.141581 , Execution time: 2.489400e-01
The result is 3.141581 , Execution time: 3.630579e-01
The result is 3.141581 , Execution time: 2.307937e-01
The result is 3.141581 , Execution time: 1.562006e-01
The result is 3.141581 , Execution time: 1.891010e-01
The result is 3.141581 , Execution time: 2.636952e-01
The result is 3.141581 , Execution time: 2.452474e-01
The result is 3.141581 , Execution time: 2.401066e-01
The result is 3.141581 , Execution time: 2.040675e-01
The result is 3.141581 , Execution time: 1.060886e-01
The result is 3.141581 , Execution time: 1.882663e-01
The result is 3.141581 , Execution time: 2.405248e-01
The result is 3.141581 , Execution time: 1.571949e-01
The result is 3.141581 , Execution time: 5.912662e-02
The result is 3.141581 , Execution time: 7.097101e-02
The result is 3.141581 , Execution time: 2.846265e-02
The result is 3.141581 , Execution time: 3.413186e-01
The result is 3.141581 , Execution time: 1.068656e-01
The result is 3.141581 , Execution time: 2.002034e-01
The result is 3.141581 , Execution time: 2.387309e-02
The result is 3.141581 , Execution time: 2.744601e-01
The result is 3.141581 , Execution time: 5.036902e-02
The result is 3.141581 , Execution time: 2.762318e-02
The result is 3.141581 , Execution time: 4.550242e-02
The result is 3.141581 , Execution time: 3.445756e-01
The result is 3.141581 , Execution time: 5.779982e-02
The result is 3.141581 , Execution time: 5.030060e-02
The result is 3.141581 , Execution time: 3.311872e-02
The result is 3.141581 , Execution time: 3.488126e-01
The result is 3.141581 , Execution time: 3.870344e-02
The result is 3.141581 , Execution time: 6.694293e-02
The result is 3.141581 , Execution time: 1.739025e-02
The result is 3.141581 , Execution time: 1.264668e-02
The result is 3.141581 , Execution time: 6.470442e-02
The result is 3.141581 , Execution time: 9.635687e-03
The result is 3.141581 , Execution time: 5.021954e-02
The result is 3.141581 , Execution time: 1.140864e-01
The result is 3.141581 , Execution time: 2.385690e-01
The result is 3.141581 , Execution time: 2.757814e-01
The result is 3.141581 , Execution time: 2.043357e-01
The result is 3.141581 , Execution time: 3.941321e-02
The result is 3.141581 , Execution time: 2.568035e-01
The result is 3.141581 , Execution time: 1.798000e-01
The result is 3.141581 , Execution time: 2.214956e-02
The result is 3.141581 , Execution time: 1.805019e-02
The result is 3.141581 , Execution time: 3.266077e-01
The result is 3.141581 , Execution time: 4.512382e-02
The result is 3.141581 , Execution time: 2.403307e-01
The result is 3.141581 , Execution time: 2.421880e-01
The result is 3.141581 , Execution time: 3.087583e-01
The result is 3.141581 , Execution time: 2.817576e-01
The result is 3.141581 , Execution time: 3.110027e-02
The result is 3.141581 , Execution time: 1.771016e-01
The result is 3.141581 , Execution time: 2.562363e-01
The result is 3.141581 , Execution time: 2.709455e-01
The result is 3.141581 , Execution time: 1.857138e-02
The result is 3.141581 , Execution time: 1.424570e-01
The result is 3.141581 , Execution time: 6.097317e-02
The result is 3.141581 , Execution time: 3.033757e-02
The result is 3.141581 , Execution time: 2.412243e-01
The result is 3.141581 , Execution time: 1.192093e-05
The result is 3.141581 , Execution time: 4.330754e-02
The result is 3.141581 , Execution time: 2.753687e-02
The result is 3.141581 , Execution time: 2.466331e-01
The result is 3.141581 , Execution time: 1.923916e-01
The result is 3.141581 , Execution time: 4.198289e-02
The result is 3.141581 , Execution time: 1.570816e-01
The result is 3.141581 , Execution time: 1.192093e-05
The result is 3.141581 , Execution time: 4.791856e-02
The result is 3.141581 , Execution time: 3.790581e-01
The result is 3.141581 , Execution time: 2.572703e-02
