
The result is 3.141581 , Execution time: 1.923742e+00
The result is 3.141581 , Execution time: 1.904174e+00
The result is 3.141581 , Execution time: 1.905543e+00
The result is 3.141581 , Execution time: 1.953825e+00
The result is 3.141581 , Execution time: 1.891786e+00
The result is 3.141581 , Execution time: 1.931429e+00
The result is 3.141581 , Execution time: 1.908472e+00
The result is 3.141581 , Execution time: 1.931738e+00
The result is 3.141581 , Execution time: 1.910290e+00
The result is 3.141581 , Execution time: 1.925146e+00
The result is 3.141581 , Execution time: 1.908283e+00
The result is 3.141581 , Execution time: 1.908503e+00
The result is 3.141581 , Execution time: 1.948021e+00
The result is 3.141581 , Execution time: 1.980277e+00
The result is 3.141581 , Execution time: 1.923866e+00
The result is 3.141581 , Execution time: 1.903974e+00
The result is 3.141581 , Execution time: 1.917250e+00
The result is 3.141581 , Execution time: 1.955769e+00
The result is 3.141581 , Execution time: 1.920393e+00
The result is 3.141581 , Execution time: 2.058666e+00
The result is 3.141581 , Execution time: 1.892991e+00
The result is 3.141581 , Execution time: 1.914951e+00
The result is 3.141581 , Execution time: 1.936491e+00
The result is 3.141581 , Execution time: 1.884268e+00
The result is 3.141581 , Execution time: 1.906079e+00
The result is 3.141581 , Execution time: 1.931688e+00
The result is 3.141581 , Execution time: 1.915550e+00
The result is 3.141581 , Execution time: 1.898397e+00
The result is 3.141581 , Execution time: 1.912835e+00
The result is 3.141581 , Execution time: 1.922700e+00
The result is 3.141581 , Execution time: 1.915680e+00
The result is 3.141581 , Execution time: 1.910399e+00
The result is 3.141581 , Execution time: 1.918194e+00
The result is 3.141581 , Execution time: 1.930780e+00
The result is 3.141581 , Execution time: 1.931920e+00
The result is 3.141581 , Execution time: 1.887529e+00
The result is 3.141581 , Execution time: 1.899453e+00
The result is 3.141581 , Execution time: 1.917449e+00
The result is 3.141581 , Execution time: 1.928898e+00
The result is 3.141581 , Execution time: 1.913310e+00
The result is 3.141581 , Execution time: 1.945273e+00
The result is 3.141581 , Execution time: 1.911577e+00
The result is 3.141581 , Execution time: 1.933727e+00
The result is 3.141581 , Execution time: 1.935090e+00
The result is 3.141581 , Execution time: 1.951250e+00
The result is 3.141581 , Execution time: 1.883238e+00
The result is 3.141581 , Execution time: 1.943974e+00
The result is 3.141581 , Execution time: 1.940740e+00
The result is 3.141581 , Execution time: 1.896677e+00
The result is 3.141581 , Execution time: 1.926454e+00
The result is 3.141581 , Execution time: 1.910941e+00
The result is 3.141581 , Execution time: 1.914434e+00
The result is 3.141581 , Execution time: 1.923162e+00
The result is 3.141581 , Execution time: 1.915614e+00
The result is 3.141581 , Execution time: 1.939826e+00
The result is 3.141581 , Execution time: 1.939562e+00
The result is 3.141581 , Execution time: 1.934830e+00
The result is 3.141581 , Execution time: 1.912702e+00
The result is 3.141581 , Execution time: 1.894768e+00
The result is 3.141581 , Execution time: 1.965651e+00
The result is 3.141581 , Execution time: 1.933403e+00
The result is 3.141581 , Execution time: 1.908492e+00
The result is 3.141581 , Execution time: 1.899815e+00
The result is 3.141581 , Execution time: 1.917194e+00
The result is 3.141581 , Execution time: 1.915718e+00
The result is 3.141581 , Execution time: 1.930376e+00
The result is 3.141581 , Execution time: 1.921810e+00
The result is 3.141581 , Execution time: 1.916512e+00
The result is 3.141581 , Execution time: 1.923206e+00
The result is 3.141581 , Execution time: 1.967217e+00
The result is 3.141581 , Execution time: 1.933197e+00
The result is 3.141581 , Execution time: 1.919844e+00
The result is 3.141581 , Execution time: 1.913641e+00
The result is 3.141581 , Execution time: 1.908067e+00
The result is 3.141581 , Execution time: 1.910501e+00
The result is 3.141581 , Execution time: 1.905698e+00
The result is 3.141581 , Execution time: 1.912599e+00
The result is 3.141581 , Execution time: 1.909131e+00
The result is 3.141581 , Execution time: 1.926242e+00
The result is 3.141581 , Execution time: 1.911568e+00
The result is 3.141581 , Execution time: 1.914290e+00
The result is 3.141581 , Execution time: 1.925881e+00
The result is 3.141581 , Execution time: 1.883071e+00
The result is 3.141581 , Execution time: 1.907651e+00
The result is 3.141581 , Execution time: 1.900052e+00
The result is 3.141581 , Execution time: 1.937961e+00
The result is 3.141581 , Execution time: 1.912699e+00
The result is 3.141581 , Execution time: 1.907210e+00
The result is 3.141581 , Execution time: 1.927389e+00
The result is 3.141581 , Execution time: 1.907200e+00
The result is 3.141581 , Execution time: 1.932607e+00
The result is 3.141581 , Execution time: 1.883825e+00
The result is 3.141581 , Execution time: 1.911991e+00
The result is 3.141581 , Execution time: 1.914371e+00
The result is 3.141581 , Execution time: 1.957566e+00
The result is 3.141581 , Execution time: 1.915682e+00
The result is 3.141581 , Execution time: 1.926824e+00
The result is 3.141581 , Execution time: 1.916049e+00
The result is 3.141581 , Execution time: 1.925073e+00
The result is 3.141581 , Execution time: 1.907233e+00
