
The result is 3.141581 , Execution time: 1.980664e+00
The result is 3.141581 , Execution time: 1.966315e+00
The result is 3.141581 , Execution time: 1.943534e+00
The result is 3.141581 , Execution time: 1.952125e+00
The result is 3.141581 , Execution time: 1.942540e+00
The result is 3.141581 , Execution time: 1.988523e+00
The result is 3.141581 , Execution time: 1.945168e+00
The result is 3.141581 , Execution time: 1.966858e+00
The result is 3.141581 , Execution time: 1.951289e+00
The result is 3.141581 , Execution time: 1.925380e+00
The result is 3.141581 , Execution time: 1.949158e+00
The result is 3.141581 , Execution time: 1.934274e+00
The result is 3.141581 , Execution time: 1.964968e+00
The result is 3.141581 , Execution time: 1.943830e+00
The result is 3.141581 , Execution time: 1.917083e+00
The result is 3.141581 , Execution time: 1.944885e+00
The result is 3.141581 , Execution time: 1.936446e+00
The result is 3.141581 , Execution time: 1.917191e+00
The result is 3.141581 , Execution time: 1.970203e+00
The result is 3.141581 , Execution time: 1.957547e+00
The result is 3.141581 , Execution time: 1.931448e+00
The result is 3.141581 , Execution time: 1.936028e+00
The result is 3.141581 , Execution time: 1.930963e+00
The result is 3.141581 , Execution time: 1.936790e+00
The result is 3.141581 , Execution time: 1.942202e+00
The result is 3.141581 , Execution time: 1.971000e+00
The result is 3.141581 , Execution time: 1.925826e+00
The result is 3.141581 , Execution time: 1.955735e+00
The result is 3.141581 , Execution time: 1.944296e+00
The result is 3.141581 , Execution time: 1.959716e+00
The result is 3.141581 , Execution time: 1.952137e+00
The result is 3.141581 , Execution time: 1.937991e+00
The result is 3.141581 , Execution time: 1.923534e+00
The result is 3.141581 , Execution time: 1.906157e+00
The result is 3.141581 , Execution time: 1.926724e+00
The result is 3.141581 , Execution time: 1.973437e+00
The result is 3.141581 , Execution time: 1.935024e+00
The result is 3.141581 , Execution time: 1.953204e+00
The result is 3.141581 , Execution time: 1.927132e+00
The result is 3.141581 , Execution time: 1.936050e+00
The result is 3.141581 , Execution time: 1.953253e+00
The result is 3.141581 , Execution time: 1.924029e+00
The result is 3.141581 , Execution time: 1.918964e+00
The result is 3.141581 , Execution time: 1.954945e+00
The result is 3.141581 , Execution time: 1.940583e+00
The result is 3.141581 , Execution time: 1.935380e+00
The result is 3.141581 , Execution time: 1.937752e+00
The result is 3.141581 , Execution time: 1.930307e+00
The result is 3.141581 , Execution time: 1.938369e+00
The result is 3.141581 , Execution time: 1.937528e+00
The result is 3.141581 , Execution time: 1.939772e+00
The result is 3.141581 , Execution time: 1.954742e+00
The result is 3.141581 , Execution time: 1.946123e+00
The result is 3.141581 , Execution time: 1.956828e+00
The result is 3.141581 , Execution time: 1.921442e+00
The result is 3.141581 , Execution time: 1.925107e+00
The result is 3.141581 , Execution time: 1.928440e+00
The result is 3.141581 , Execution time: 1.947402e+00
The result is 3.141581 , Execution time: 1.945155e+00
The result is 3.141581 , Execution time: 1.983719e+00
The result is 3.141581 , Execution time: 1.932442e+00
The result is 3.141581 , Execution time: 1.937162e+00
The result is 3.141581 , Execution time: 1.942218e+00
The result is 3.141581 , Execution time: 1.921506e+00
The result is 3.141581 , Execution time: 1.942886e+00
The result is 3.141581 , Execution time: 1.938030e+00
The result is 3.141581 , Execution time: 1.938205e+00
The result is 3.141581 , Execution time: 1.936365e+00
The result is 3.141581 , Execution time: 1.928925e+00
The result is 3.141581 , Execution time: 1.978690e+00
The result is 3.141581 , Execution time: 1.977925e+00
The result is 3.141581 , Execution time: 1.929377e+00
The result is 3.141581 , Execution time: 1.970320e+00
The result is 3.141581 , Execution time: 1.936812e+00
The result is 3.141581 , Execution time: 1.931229e+00
The result is 3.141581 , Execution time: 1.974185e+00
The result is 3.141581 , Execution time: 1.947105e+00
The result is 3.141581 , Execution time: 1.984334e+00
The result is 3.141581 , Execution time: 1.930292e+00
The result is 3.141581 , Execution time: 1.932113e+00
The result is 3.141581 , Execution time: 1.954667e+00
The result is 3.141581 , Execution time: 1.911961e+00
The result is 3.141581 , Execution time: 1.945632e+00
The result is 3.141581 , Execution time: 1.990033e+00
The result is 3.141581 , Execution time: 1.906029e+00
The result is 3.141581 , Execution time: 2.059125e+00
The result is 3.141581 , Execution time: 1.912027e+00
The result is 3.141581 , Execution time: 1.942266e+00
The result is 3.141581 , Execution time: 1.948022e+00
The result is 3.141581 , Execution time: 1.957034e+00
The result is 3.141581 , Execution time: 1.947762e+00
The result is 3.141581 , Execution time: 1.939241e+00
The result is 3.141581 , Execution time: 1.932434e+00
The result is 3.141581 , Execution time: 1.991020e+00
The result is 3.141581 , Execution time: 1.937641e+00
The result is 3.141581 , Execution time: 1.951719e+00
The result is 3.141581 , Execution time: 1.921037e+00
The result is 3.141581 , Execution time: 1.934894e+00
The result is 3.141581 , Execution time: 1.945724e+00
The result is 3.141581 , Execution time: 1.936401e+00
