
The result is 3.141581 , Execution time: 9.909630e-03
The result is 3.141581 , Execution time: 1.195505e-01
The result is 3.141581 , Execution time: 3.508692e-01
The result is 3.141581 , Execution time: 2.147179e-01
The result is 3.141581 , Execution time: 5.466938e-04
The result is 3.141581 , Execution time: 2.207170e-01
The result is 3.141581 , Execution time: 2.429435e-01
The result is 3.141581 , Execution time: 5.383301e-02
The result is 3.141581 , Execution time: 2.464433e-01
The result is 3.141581 , Execution time: 1.809266e-01
The result is 3.141581 , Execution time: 2.230563e-01
The result is 3.141581 , Execution time: 2.304811e-01
The result is 3.141581 , Execution time: 5.769444e-02
The result is 3.141581 , Execution time: 4.910398e-02
The result is 3.141581 , Execution time: 1.435447e-02
The result is 3.141581 , Execution time: 5.038691e-02
The result is 3.141581 , Execution time: 5.611634e-02
The result is 3.141581 , Execution time: 2.460020e-01
The result is 3.141581 , Execution time: 1.461258e-01
The result is 3.141581 , Execution time: 3.528619e-02
The result is 3.141581 , Execution time: 2.488272e-01
The result is 3.141581 , Execution time: 5.393028e-04
The result is 3.141581 , Execution time: 2.413430e-01
The result is 3.141581 , Execution time: 2.545655e-01
The result is 3.141581 , Execution time: 1.785951e-01
The result is 3.141581 , Execution time: 1.584971e-01
The result is 3.141581 , Execution time: 5.069423e-02
The result is 3.141581 , Execution time: 3.491163e-02
The result is 3.141581 , Execution time: 2.480917e-01
The result is 3.141581 , Execution time: 2.571623e-01
The result is 3.141581 , Execution time: 8.360386e-03
The result is 3.141581 , Execution time: 5.242825e-04
The result is 3.141581 , Execution time: 2.598248e-01
The result is 3.141581 , Execution time: 7.029963e-02
The result is 3.141581 , Execution time: 2.849102e-03
The result is 3.141581 , Execution time: 2.426474e-01
The result is 3.141581 , Execution time: 2.289219e-01
The result is 3.141581 , Execution time: 5.598116e-02
The result is 3.141581 , Execution time: 3.931499e-02
The result is 3.141581 , Execution time: 4.091620e-02
The result is 3.141581 , Execution time: 5.142856e-02
The result is 3.141581 , Execution time: 1.356745e-02
The result is 3.141581 , Execution time: 9.805012e-02
The result is 3.141581 , Execution time: 2.678347e-02
The result is 3.141581 , Execution time: 3.059697e-02
The result is 3.141581 , Execution time: 3.317430e-01
The result is 3.141581 , Execution time: 2.554083e-01
The result is 3.141581 , Execution time: 2.609828e-01
The result is 3.141581 , Execution time: 7.629895e-02
The result is 3.141581 , Execution time: 2.737286e-01
The result is 3.141581 , Execution time: 2.657616e-01
The result is 3.141581 , Execution time: 2.099349e-01
The result is 3.141581 , Execution time: 5.284548e-02
The result is 3.141581 , Execution time: 1.573682e-01
The result is 3.141581 , Execution time: 6.671429e-02
The result is 3.141581 , Execution time: 2.166319e-02
The result is 3.141581 , Execution time: 2.689147e-01
The result is 3.141581 , Execution time: 3.644848e-01
The result is 3.141581 , Execution time: 2.598891e-01
The result is 3.141581 , Execution time: 3.687692e-01
The result is 3.141581 , Execution time: 3.996158e-02
The result is 3.141581 , Execution time: 2.892356e-01
The result is 3.141581 , Execution time: 4.373336e-02
The result is 3.141581 , Execution time: 4.951215e-02
The result is 3.141581 , Execution time: 3.634191e-02
The result is 3.141581 , Execution time: 2.546048e-01
The result is 3.141581 , Execution time: 2.473514e-01
The result is 3.141581 , Execution time: 1.869912e-01
The result is 3.141581 , Execution time: 2.570248e-01
The result is 3.141581 , Execution time: 2.551031e-01
The result is 3.141581 , Execution time: 2.103662e-02
The result is 3.141581 , Execution time: 3.386450e-01
The result is 3.141581 , Execution time: 4.206228e-02
The result is 3.141581 , Execution time: 3.264182e-01
The result is 3.141581 , Execution time: 3.228879e-02
The result is 3.141581 , Execution time: 2.683208e-01
The result is 3.141581 , Execution time: 2.617714e-01
The result is 3.141581 , Execution time: 1.803465e-01
The result is 3.141581 , Execution time: 3.605053e-01
The result is 3.141581 , Execution time: 2.141929e-02
The result is 3.141581 , Execution time: 3.634994e-01
The result is 3.141581 , Execution time: 2.084208e-01
The result is 3.141581 , Execution time: 2.506816e-01
The result is 3.141581 , Execution time: 2.462964e-01
The result is 3.141581 , Execution time: 2.549226e-01
The result is 3.141581 , Execution time: 4.004693e-02
The result is 3.141581 , Execution time: 3.966022e-02
The result is 3.141581 , Execution time: 2.386606e-01
The result is 3.141581 , Execution time: 3.178310e-02
The result is 3.141581 , Execution time: 2.130032e-03
The result is 3.141581 , Execution time: 1.560431e-01
The result is 3.141581 , Execution time: 3.251193e-01
The result is 3.141581 , Execution time: 7.117510e-02
The result is 3.141581 , Execution time: 1.297061e-01
The result is 3.141581 , Execution time: 2.847278e-01
The result is 3.141581 , Execution time: 6.093431e-02
The result is 3.141581 , Execution time: 2.779355e-01
The result is 3.141581 , Execution time: 9.655237e-03
The result is 3.141581 , Execution time: 2.846289e-01
The result is 3.141581 , Execution time: 2.969956e-02
