
The result is 3.141601 , Execution time: 3.330161e+00
The result is 3.141601 , Execution time: 3.657842e+00
The result is 3.141601 , Execution time: 3.317071e+00
The result is 3.141601 , Execution time: 3.643888e+00
The result is 3.141601 , Execution time: 3.323094e+00
The result is 3.141601 , Execution time: 3.651597e+00
The result is 3.141601 , Execution time: 3.316508e+00
The result is 3.141601 , Execution time: 3.632393e+00
The result is 3.141601 , Execution time: 3.314027e+00
The result is 3.141601 , Execution time: 3.585522e+00
The result is 3.141601 , Execution time: 3.610986e+00
The result is 3.141601 , Execution time: 3.310852e+00
The result is 3.141601 , Execution time: 3.663483e+00
The result is 3.141601 , Execution time: 3.607812e+00
The result is 3.141601 , Execution time: 3.702518e+00
The result is 3.141601 , Execution time: 3.297460e+00
The result is 3.141601 , Execution time: 3.311613e+00
The result is 3.141601 , Execution time: 3.313240e+00
The result is 3.141601 , Execution time: 3.625328e+00
The result is 3.141601 , Execution time: 3.335490e+00
The result is 3.141601 , Execution time: 3.633000e+00
The result is 3.141601 , Execution time: 3.356033e+00
The result is 3.141601 , Execution time: 3.331322e+00
The result is 3.141601 , Execution time: 3.335479e+00
The result is 3.141601 , Execution time: 3.651665e+00
The result is 3.141601 , Execution time: 3.625835e+00
The result is 3.141601 , Execution time: 3.311392e+00
The result is 3.141601 , Execution time: 3.680322e+00
The result is 3.141601 , Execution time: 3.582745e+00
The result is 3.141601 , Execution time: 3.330379e+00
The result is 3.141601 , Execution time: 3.295469e+00
The result is 3.141601 , Execution time: 3.305019e+00
The result is 3.141601 , Execution time: 3.316074e+00
The result is 3.141601 , Execution time: 3.591198e+00
The result is 3.141601 , Execution time: 3.322027e+00
The result is 3.141601 , Execution time: 3.304945e+00
The result is 3.141601 , Execution time: 3.382548e+00
The result is 3.141601 , Execution time: 3.312526e+00
The result is 3.141601 , Execution time: 3.336554e+00
The result is 3.141601 , Execution time: 3.377562e+00
The result is 3.141601 , Execution time: 3.305326e+00
The result is 3.141601 , Execution time: 3.614205e+00
The result is 3.141601 , Execution time: 3.314592e+00
The result is 3.141601 , Execution time: 3.310795e+00
The result is 3.141601 , Execution time: 3.589939e+00
The result is 3.141601 , Execution time: 3.326040e+00
The result is 3.141601 , Execution time: 3.602945e+00
The result is 3.141601 , Execution time: 3.636156e+00
The result is 3.141601 , Execution time: 3.638314e+00
The result is 3.141601 , Execution time: 3.311866e+00
The result is 3.141601 , Execution time: 3.615036e+00
The result is 3.141601 , Execution time: 3.350616e+00
The result is 3.141601 , Execution time: 3.599946e+00
The result is 3.141601 , Execution time: 3.352204e+00
The result is 3.141601 , Execution time: 3.309665e+00
The result is 3.141601 , Execution time: 3.308341e+00
The result is 3.141601 , Execution time: 3.599285e+00
The result is 3.141601 , Execution time: 3.318527e+00
The result is 3.141601 , Execution time: 3.320188e+00
The result is 3.141601 , Execution time: 3.611890e+00
The result is 3.141601 , Execution time: 3.321023e+00
The result is 3.141601 , Execution time: 3.636551e+00
The result is 3.141601 , Execution time: 3.305253e+00
The result is 3.141601 , Execution time: 3.571586e+00
The result is 3.141601 , Execution time: 3.314791e+00
The result is 3.141601 , Execution time: 3.312366e+00
The result is 3.141601 , Execution time: 3.556446e+00
The result is 3.141601 , Execution time: 3.309215e+00
The result is 3.141601 , Execution time: 3.317954e+00
The result is 3.141601 , Execution time: 3.310401e+00
The result is 3.141601 , Execution time: 3.332780e+00
The result is 3.141601 , Execution time: 3.624911e+00
The result is 3.141601 , Execution time: 3.306681e+00
The result is 3.141601 , Execution time: 3.311825e+00
The result is 3.141601 , Execution time: 3.314962e+00
The result is 3.141601 , Execution time: 3.629930e+00
The result is 3.141601 , Execution time: 3.331776e+00
The result is 3.141601 , Execution time: 3.598417e+00
The result is 3.141601 , Execution time: 3.560970e+00
The result is 3.141601 , Execution time: 3.635716e+00
The result is 3.141601 , Execution time: 3.348488e+00
The result is 3.141601 , Execution time: 3.333932e+00
The result is 3.141601 , Execution time: 3.418286e+00
The result is 3.141601 , Execution time: 3.332264e+00
The result is 3.141601 , Execution time: 3.675855e+00
The result is 3.141601 , Execution time: 3.356591e+00
The result is 3.141601 , Execution time: 3.349346e+00
The result is 3.141601 , Execution time: 3.301140e+00
The result is 3.141601 , Execution time: 3.590174e+00
The result is 3.141601 , Execution time: 3.616821e+00
The result is 3.141601 , Execution time: 3.589745e+00
The result is 3.141601 , Execution time: 3.305039e+00
The result is 3.141601 , Execution time: 3.576110e+00
The result is 3.141601 , Execution time: 3.647122e+00
The result is 3.141601 , Execution time: 3.570634e+00
The result is 3.141601 , Execution time: 3.345788e+00
The result is 3.141601 , Execution time: 3.538556e+00
The result is 3.141601 , Execution time: 3.303837e+00
The result is 3.141601 , Execution time: 3.644013e+00
The result is 3.141601 , Execution time: 3.579154e+00
