
The result is 3.141620 , Execution time: 2.431870e-05
The result is 3.141620 , Execution time: 2.741814e-05
The result is 3.141620 , Execution time: 2.408028e-05
The result is 3.141620 , Execution time: 4.339218e-05
The result is 3.141620 , Execution time: 2.360344e-05
The result is 3.141620 , Execution time: 7.562637e-04
The result is 3.141620 , Execution time: 6.227493e-04
The result is 3.141620 , Execution time: 5.421638e-04
The result is 3.141620 , Execution time: 2.312660e-05
The result is 3.141620 , Execution time: 2.431870e-05
The result is 3.141620 , Execution time: 2.312660e-05
The result is 3.141620 , Execution time: 2.813339e-05
The result is 3.141620 , Execution time: 2.431870e-05
The result is 3.141620 , Execution time: 6.878376e-04
The result is 3.141620 , Execution time: 2.622604e-05
The result is 3.141620 , Execution time: 2.574921e-05
The result is 3.141620 , Execution time: 8.819103e-04
The result is 3.141620 , Execution time: 2.264977e-05
The result is 3.141620 , Execution time: 2.360344e-05
The result is 3.141620 , Execution time: 2.789497e-05
The result is 3.141620 , Execution time: 2.431870e-05
The result is 3.141620 , Execution time: 5.481243e-04
The result is 3.141620 , Execution time: 3.004074e-05
The result is 3.141620 , Execution time: 1.319170e-03
The result is 3.141620 , Execution time: 2.646446e-05
The result is 3.141620 , Execution time: 2.527237e-05
The result is 3.141620 , Execution time: 2.884865e-05
The result is 3.141620 , Execution time: 1.758337e-03
The result is 3.141620 , Execution time: 2.861023e-05
The result is 3.141620 , Execution time: 1.298904e-03
The result is 3.141620 , Execution time: 2.694130e-05
The result is 3.141620 , Execution time: 2.193451e-05
The result is 3.141620 , Execution time: 2.241135e-05
The result is 3.141620 , Execution time: 5.447865e-04
The result is 3.141620 , Execution time: 1.540184e-03
The result is 3.141620 , Execution time: 2.264977e-05
The result is 3.141620 , Execution time: 4.005432e-05
The result is 3.141620 , Execution time: 6.296635e-04
The result is 3.141620 , Execution time: 2.574921e-05
The result is 3.141620 , Execution time: 2.765656e-05
The result is 3.141620 , Execution time: 2.241135e-05
The result is 3.141620 , Execution time: 2.741814e-05
The result is 3.141620 , Execution time: 2.598763e-05
The result is 3.141620 , Execution time: 2.717972e-05
The result is 3.141620 , Execution time: 9.396076e-04
The result is 3.141620 , Execution time: 2.908707e-05
The result is 3.141620 , Execution time: 1.313448e-03
The result is 3.141620 , Execution time: 2.312660e-05
The result is 3.141620 , Execution time: 2.646446e-05
The result is 3.141620 , Execution time: 2.455711e-05
The result is 3.141620 , Execution time: 1.000881e-03
The result is 3.141620 , Execution time: 5.609989e-04
The result is 3.141620 , Execution time: 5.655289e-04
The result is 3.141620 , Execution time: 1.344919e-03
The result is 3.141620 , Execution time: 1.260757e-03
The result is 3.141620 , Execution time: 2.598763e-05
The result is 3.141620 , Execution time: 1.280069e-03
The result is 3.141620 , Execution time: 2.670288e-05
The result is 3.141620 , Execution time: 1.769543e-03
The result is 3.141620 , Execution time: 2.217293e-05
The result is 3.141620 , Execution time: 2.360344e-05
The result is 3.141620 , Execution time: 2.527237e-05
The result is 3.141620 , Execution time: 2.288818e-05
The result is 3.141620 , Execution time: 1.371861e-03
The result is 3.141620 , Execution time: 3.385544e-05
The result is 3.141620 , Execution time: 2.813339e-05
The result is 3.141620 , Execution time: 2.384186e-05
The result is 3.141620 , Execution time: 2.598763e-05
The result is 3.141620 , Execution time: 2.408028e-05
The result is 3.141620 , Execution time: 2.431870e-05
The result is 3.141620 , Execution time: 5.660057e-04
The result is 3.141620 , Execution time: 1.079798e-03
The result is 3.141620 , Execution time: 5.578995e-04
The result is 3.141620 , Execution time: 2.789497e-05
The result is 3.141620 , Execution time: 2.574921e-05
The result is 3.141620 , Execution time: 2.360344e-05
The result is 3.141620 , Execution time: 2.241135e-05
The result is 3.141620 , Execution time: 5.452633e-04
The result is 3.141620 , Execution time: 2.408028e-05
The result is 3.141620 , Execution time: 2.408028e-05
The result is 3.141620 , Execution time: 5.505085e-04
The result is 3.141620 , Execution time: 2.384186e-05
The result is 3.141620 , Execution time: 6.897449e-04
The result is 3.141620 , Execution time: 2.408028e-05
The result is 3.141620 , Execution time: 7.886887e-04
The result is 3.141620 , Execution time: 2.551079e-05
The result is 3.141620 , Execution time: 5.755424e-04
The result is 3.141620 , Execution time: 2.646446e-05
The result is 3.141620 , Execution time: 2.431870e-05
The result is 3.141620 , Execution time: 2.717972e-05
The result is 3.141620 , Execution time: 7.565022e-04
The result is 3.141620 , Execution time: 2.431870e-05
The result is 3.141620 , Execution time: 5.481243e-04
The result is 3.141620 , Execution time: 2.264977e-05
The result is 3.141620 , Execution time: 5.660057e-04
The result is 3.141620 , Execution time: 5.419254e-04
The result is 3.141620 , Execution time: 2.336502e-05
The result is 3.141620 , Execution time: 5.648136e-04
The result is 3.141620 , Execution time: 2.288818e-05
The result is 3.141620 , Execution time: 5.359650e-04
