
The result is 3.141620 , Execution time: 3.740511e-01
The result is 3.141620 , Execution time: 3.744366e-01
The result is 3.141620 , Execution time: 3.741589e-01
The result is 3.141620 , Execution time: 3.745105e-01
The result is 3.141620 , Execution time: 3.742814e-01
The result is 3.141620 , Execution time: 3.746169e-01
The result is 3.141620 , Execution time: 3.744977e-01
The result is 3.141620 , Execution time: 3.744307e-01
The result is 3.141620 , Execution time: 3.745196e-01
The result is 3.141620 , Execution time: 3.746397e-01
The result is 3.141620 , Execution time: 3.745759e-01
The result is 3.141620 , Execution time: 3.742743e-01
The result is 3.141620 , Execution time: 3.748097e-01
The result is 3.141620 , Execution time: 3.746500e-01
The result is 3.141620 , Execution time: 3.743281e-01
The result is 3.141620 , Execution time: 3.742244e-01
The result is 3.141620 , Execution time: 3.746104e-01
The result is 3.141620 , Execution time: 3.740258e-01
The result is 3.141620 , Execution time: 3.740308e-01
The result is 3.141620 , Execution time: 3.743775e-01
The result is 3.141620 , Execution time: 3.742542e-01
The result is 3.141620 , Execution time: 3.745739e-01
The result is 3.141620 , Execution time: 3.741248e-01
The result is 3.141620 , Execution time: 3.742602e-01
The result is 3.141620 , Execution time: 3.748686e-01
The result is 3.141620 , Execution time: 3.745842e-01
The result is 3.141620 , Execution time: 3.743675e-01
The result is 3.141620 , Execution time: 3.745627e-01
The result is 3.141620 , Execution time: 3.743298e-01
The result is 3.141620 , Execution time: 3.744416e-01
The result is 3.141620 , Execution time: 3.744380e-01
The result is 3.141620 , Execution time: 3.745434e-01
The result is 3.141620 , Execution time: 3.746471e-01
The result is 3.141620 , Execution time: 3.740971e-01
The result is 3.141620 , Execution time: 3.737438e-01
The result is 3.141620 , Execution time: 3.742802e-01
The result is 3.141620 , Execution time: 3.737624e-01
The result is 3.141620 , Execution time: 3.740551e-01
The result is 3.141620 , Execution time: 3.745301e-01
The result is 3.141620 , Execution time: 3.746147e-01
The result is 3.141620 , Execution time: 3.745215e-01
The result is 3.141620 , Execution time: 3.743804e-01
The result is 3.141620 , Execution time: 3.744602e-01
The result is 3.141620 , Execution time: 3.741276e-01
The result is 3.141620 , Execution time: 3.744555e-01
The result is 3.141620 , Execution time: 3.736730e-01
The result is 3.141620 , Execution time: 3.747623e-01
The result is 3.141620 , Execution time: 3.742046e-01
The result is 3.141620 , Execution time: 3.746226e-01
The result is 3.141620 , Execution time: 3.741481e-01
The result is 3.141620 , Execution time: 3.746462e-01
The result is 3.141620 , Execution time: 3.742032e-01
The result is 3.141620 , Execution time: 3.743470e-01
The result is 3.141620 , Execution time: 3.744950e-01
The result is 3.141620 , Execution time: 3.746002e-01
The result is 3.141620 , Execution time: 3.743804e-01
The result is 3.141620 , Execution time: 3.740945e-01
The result is 3.141620 , Execution time: 3.747392e-01
The result is 3.141620 , Execution time: 3.748820e-01
The result is 3.141620 , Execution time: 3.744214e-01
The result is 3.141620 , Execution time: 3.746257e-01
The result is 3.141620 , Execution time: 3.744588e-01
The result is 3.141620 , Execution time: 3.745949e-01
The result is 3.141620 , Execution time: 3.746397e-01
The result is 3.141620 , Execution time: 3.745532e-01
The result is 3.141620 , Execution time: 3.749828e-01
The result is 3.141620 , Execution time: 3.746922e-01
The result is 3.141620 , Execution time: 3.739629e-01
The result is 3.141620 , Execution time: 3.736620e-01
The result is 3.141620 , Execution time: 3.740511e-01
The result is 3.141620 , Execution time: 3.740189e-01
The result is 3.141620 , Execution time: 3.745580e-01
The result is 3.141620 , Execution time: 3.745046e-01
The result is 3.141620 , Execution time: 3.746626e-01
The result is 3.141620 , Execution time: 3.739142e-01
The result is 3.141620 , Execution time: 3.735497e-01
The result is 3.141620 , Execution time: 3.748381e-01
The result is 3.141620 , Execution time: 3.740344e-01
The result is 3.141620 , Execution time: 3.745470e-01
The result is 3.141620 , Execution time: 3.744969e-01
The result is 3.141620 , Execution time: 3.746216e-01
The result is 3.141620 , Execution time: 3.746235e-01
The result is 3.141620 , Execution time: 3.745735e-01
The result is 3.141620 , Execution time: 3.745096e-01
The result is 3.141620 , Execution time: 3.740251e-01
The result is 3.141620 , Execution time: 3.743339e-01
The result is 3.141620 , Execution time: 3.743484e-01
The result is 3.141620 , Execution time: 3.745041e-01
The result is 3.141620 , Execution time: 3.745837e-01
The result is 3.141620 , Execution time: 3.743484e-01
The result is 3.141620 , Execution time: 3.744891e-01
The result is 3.141620 , Execution time: 3.746090e-01
The result is 3.141620 , Execution time: 3.749371e-01
The result is 3.141620 , Execution time: 3.746254e-01
The result is 3.141620 , Execution time: 3.744819e-01
The result is 3.141620 , Execution time: 3.742318e-01
The result is 3.141620 , Execution time: 3.745036e-01
The result is 3.141620 , Execution time: 3.745303e-01
The result is 3.141620 , Execution time: 3.741474e-01
The result is 3.141620 , Execution time: 3.745315e-01
