
The result is 3.141614 , Execution time: 1.883507e-05
The result is 3.141614 , Execution time: 2.482891e-03
The result is 3.141614 , Execution time: 1.502037e-05
The result is 3.141614 , Execution time: 1.788139e-05
The result is 3.141614 , Execution time: 1.597404e-05
The result is 3.141614 , Execution time: 2.505779e-04
The result is 3.141614 , Execution time: 8.292198e-04
The result is 3.141614 , Execution time: 1.502037e-05
The result is 3.141614 , Execution time: 1.406670e-05
The result is 3.141614 , Execution time: 1.525879e-05
The result is 3.141614 , Execution time: 3.147125e-04
The result is 3.141614 , Execution time: 1.549721e-05
The result is 3.141614 , Execution time: 1.835823e-05
The result is 3.141614 , Execution time: 1.621246e-05
The result is 3.141614 , Execution time: 2.415419e-03
The result is 3.141614 , Execution time: 1.549721e-05
The result is 3.141614 , Execution time: 1.697302e-03
The result is 3.141614 , Execution time: 1.621246e-05
The result is 3.141614 , Execution time: 1.597404e-05
The result is 3.141614 , Execution time: 1.764297e-05
The result is 3.141614 , Execution time: 2.461910e-03
The result is 3.141614 , Execution time: 2.415180e-03
The result is 3.141614 , Execution time: 1.425028e-03
The result is 3.141614 , Execution time: 1.907349e-05
The result is 3.141614 , Execution time: 4.920959e-04
The result is 3.141614 , Execution time: 2.026558e-05
The result is 3.141614 , Execution time: 1.454353e-05
The result is 3.141614 , Execution time: 1.887321e-03
The result is 3.141614 , Execution time: 1.406670e-05
The result is 3.141614 , Execution time: 1.502037e-05
The result is 3.141614 , Execution time: 3.007889e-03
The result is 3.141614 , Execution time: 1.406670e-05
The result is 3.141614 , Execution time: 1.811981e-05
The result is 3.141614 , Execution time: 2.376556e-03
The result is 3.141614 , Execution time: 1.549721e-05
The result is 3.141614 , Execution time: 1.645088e-05
The result is 3.141614 , Execution time: 1.525879e-05
The result is 3.141614 , Execution time: 2.206326e-03
The result is 3.141614 , Execution time: 1.716614e-05
The result is 3.141614 , Execution time: 2.398491e-03
The result is 3.141614 , Execution time: 2.426624e-03
The result is 3.141614 , Execution time: 1.645088e-05
The result is 3.141614 , Execution time: 1.594305e-03
The result is 3.141614 , Execution time: 1.573563e-05
The result is 3.141614 , Execution time: 2.584696e-03
The result is 3.141614 , Execution time: 1.573563e-05
The result is 3.141614 , Execution time: 2.007723e-03
The result is 3.141614 , Execution time: 1.525879e-05
The result is 3.141614 , Execution time: 1.931190e-05
The result is 3.141614 , Execution time: 1.645088e-05
The result is 3.141614 , Execution time: 1.740456e-05
The result is 3.141614 , Execution time: 2.168894e-03
The result is 3.141614 , Execution time: 1.883507e-05
The result is 3.141614 , Execution time: 1.740456e-05
The result is 3.141614 , Execution time: 2.262831e-03
The result is 3.141614 , Execution time: 1.478195e-05
The result is 3.141614 , Execution time: 1.486778e-03
The result is 3.141614 , Execution time: 1.764297e-05
The result is 3.141614 , Execution time: 1.764297e-05
The result is 3.141614 , Execution time: 1.716614e-05
The result is 3.141614 , Execution time: 1.788139e-05
The result is 3.141614 , Execution time: 2.213955e-03
The result is 3.141614 , Execution time: 1.621246e-05
The result is 3.141614 , Execution time: 1.525879e-05
The result is 3.141614 , Execution time: 1.275778e-03
The result is 3.141614 , Execution time: 1.549721e-05
The result is 3.141614 , Execution time: 1.307726e-03
The result is 3.141614 , Execution time: 1.502037e-05
The result is 3.141614 , Execution time: 1.549721e-05
The result is 3.141614 , Execution time: 1.645088e-05
The result is 3.141614 , Execution time: 1.907349e-05
The result is 3.141614 , Execution time: 1.692772e-05
The result is 3.141614 , Execution time: 2.335548e-03
The result is 3.141614 , Execution time: 1.811981e-05
The result is 3.141614 , Execution time: 1.549721e-05
The result is 3.141614 , Execution time: 1.740456e-05
The result is 3.141614 , Execution time: 1.502037e-05
The result is 3.141614 , Execution time: 1.764297e-05
The result is 3.141614 , Execution time: 1.764297e-05
The result is 3.141614 , Execution time: 2.481461e-03
The result is 3.141614 , Execution time: 1.692772e-05
The result is 3.141614 , Execution time: 2.341270e-03
The result is 3.141614 , Execution time: 1.454353e-05
The result is 3.141614 , Execution time: 1.478195e-05
The result is 3.141614 , Execution time: 2.257347e-03
The result is 3.141614 , Execution time: 2.459526e-03
The result is 3.141614 , Execution time: 9.179115e-05
The result is 3.141614 , Execution time: 1.645088e-05
The result is 3.141614 , Execution time: 2.031088e-03
The result is 3.141614 , Execution time: 1.645088e-05
The result is 3.141614 , Execution time: 7.462502e-05
The result is 3.141614 , Execution time: 1.048326e-03
The result is 3.141614 , Execution time: 1.597404e-05
The result is 3.141614 , Execution time: 1.764297e-05
The result is 3.141614 , Execution time: 2.354383e-03
The result is 3.141614 , Execution time: 2.461433e-03
The result is 3.141614 , Execution time: 1.859665e-05
The result is 3.141614 , Execution time: 1.811981e-05
The result is 3.141614 , Execution time: 2.121925e-05
The result is 3.141614 , Execution time: 1.597404e-05
