
The result is 3.141581 , Execution time: 1.935643e+00
The result is 3.141581 , Execution time: 1.912793e+00
The result is 3.141581 , Execution time: 1.908480e+00
The result is 3.141581 , Execution time: 1.905143e+00
The result is 3.141581 , Execution time: 1.910806e+00
The result is 3.141581 , Execution time: 1.881529e+00
The result is 3.141581 , Execution time: 1.930914e+00
The result is 3.141581 , Execution time: 1.905004e+00
The result is 3.141581 , Execution time: 1.913535e+00
The result is 3.141581 , Execution time: 1.909707e+00
The result is 3.141581 , Execution time: 1.908363e+00
The result is 3.141581 , Execution time: 1.924288e+00
The result is 3.141581 , Execution time: 1.944774e+00
The result is 3.141581 , Execution time: 1.939963e+00
The result is 3.141581 , Execution time: 1.916967e+00
The result is 3.141581 , Execution time: 1.912632e+00
The result is 3.141581 , Execution time: 1.929337e+00
The result is 3.141581 , Execution time: 1.908143e+00
The result is 3.141581 , Execution time: 1.919706e+00
The result is 3.141581 , Execution time: 1.926860e+00
The result is 3.141581 , Execution time: 1.935965e+00
The result is 3.141581 , Execution time: 1.887735e+00
The result is 3.141581 , Execution time: 1.905347e+00
The result is 3.141581 , Execution time: 1.928197e+00
The result is 3.141581 , Execution time: 1.915238e+00
The result is 3.141581 , Execution time: 1.928081e+00
The result is 3.141581 , Execution time: 1.935695e+00
The result is 3.141581 , Execution time: 1.946792e+00
The result is 3.141581 , Execution time: 1.935245e+00
The result is 3.141581 , Execution time: 1.919477e+00
The result is 3.141581 , Execution time: 1.908100e+00
The result is 3.141581 , Execution time: 1.913561e+00
The result is 3.141581 , Execution time: 1.935787e+00
The result is 3.141581 , Execution time: 1.970941e+00
The result is 3.141581 , Execution time: 1.896312e+00
The result is 3.141581 , Execution time: 1.914597e+00
The result is 3.141581 , Execution time: 1.936774e+00
The result is 3.141581 , Execution time: 1.907825e+00
The result is 3.141581 , Execution time: 1.917783e+00
The result is 3.141581 , Execution time: 1.921052e+00
The result is 3.141581 , Execution time: 1.945468e+00
The result is 3.141581 , Execution time: 1.937034e+00
The result is 3.141581 , Execution time: 1.912706e+00
The result is 3.141581 , Execution time: 1.908220e+00
The result is 3.141581 , Execution time: 1.910465e+00
The result is 3.141581 , Execution time: 1.917224e+00
The result is 3.141581 , Execution time: 1.917179e+00
The result is 3.141581 , Execution time: 1.901781e+00
The result is 3.141581 , Execution time: 1.920270e+00
The result is 3.141581 , Execution time: 1.906966e+00
The result is 3.141581 , Execution time: 1.932754e+00
The result is 3.141581 , Execution time: 1.913131e+00
The result is 3.141581 , Execution time: 1.961603e+00
The result is 3.141581 , Execution time: 1.916768e+00
The result is 3.141581 , Execution time: 1.931062e+00
The result is 3.141581 , Execution time: 1.931098e+00
The result is 3.141581 , Execution time: 1.906818e+00
The result is 3.141581 , Execution time: 1.922366e+00
The result is 3.141581 , Execution time: 1.922403e+00
The result is 3.141581 , Execution time: 1.915868e+00
The result is 3.141581 , Execution time: 1.906688e+00
The result is 3.141581 , Execution time: 1.912321e+00
The result is 3.141581 , Execution time: 1.881484e+00
The result is 3.141581 , Execution time: 1.930893e+00
The result is 3.141581 , Execution time: 1.912083e+00
The result is 3.141581 , Execution time: 1.913931e+00
The result is 3.141581 , Execution time: 1.907995e+00
The result is 3.141581 , Execution time: 1.940903e+00
The result is 3.141581 , Execution time: 1.905412e+00
The result is 3.141581 , Execution time: 1.979040e+00
The result is 3.141581 , Execution time: 1.902713e+00
The result is 3.141581 , Execution time: 1.913662e+00
The result is 3.141581 , Execution time: 1.928666e+00
The result is 3.141581 , Execution time: 1.919614e+00
The result is 3.141581 , Execution time: 1.906510e+00
The result is 3.141581 , Execution time: 1.949688e+00
The result is 3.141581 , Execution time: 1.930972e+00
The result is 3.141581 , Execution time: 1.929965e+00
The result is 3.141581 , Execution time: 1.906372e+00
The result is 3.141581 , Execution time: 1.941002e+00
The result is 3.141581 , Execution time: 1.906544e+00
The result is 3.141581 , Execution time: 1.960050e+00
The result is 3.141581 , Execution time: 1.906828e+00
The result is 3.141581 , Execution time: 1.951964e+00
The result is 3.141581 , Execution time: 1.913617e+00
The result is 3.141581 , Execution time: 1.913326e+00
The result is 3.141581 , Execution time: 1.922757e+00
The result is 3.141581 , Execution time: 1.948191e+00
The result is 3.141581 , Execution time: 1.937330e+00
The result is 3.141581 , Execution time: 1.899471e+00
The result is 3.141581 , Execution time: 1.908282e+00
The result is 3.141581 , Execution time: 1.911019e+00
The result is 3.141581 , Execution time: 1.915712e+00
The result is 3.141581 , Execution time: 1.926545e+00
The result is 3.141581 , Execution time: 1.923776e+00
The result is 3.141581 , Execution time: 1.921041e+00
The result is 3.141581 , Execution time: 1.907858e+00
The result is 3.141581 , Execution time: 1.928715e+00
The result is 3.141581 , Execution time: 1.910187e+00
The result is 3.141581 , Execution time: 1.931174e+00
